prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,context_text,target_text,continuation_text,suffix_text,full_text,prompt_source,hu_test_suite_path,hu_test_suite_item_number,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space
g18__g18_050__template_default__palatable_delicious,g18,Gotzner et al. (2018),g18_050,palatable/delicious,palatable,delicious,palatable,delicious,adj,default,"It is palatable, but not delicious.",0.47,True,cross-scale/human_data/g18.csv,"It is palatable, but not",delicious, delicious,.,"It is palatable, but not delicious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/palatable_delicious.json,1007,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_032__template_default__poor_destitute,g18,Gotzner et al. (2018),g18_032,poor/destitute,poor,destitute,poor,destitute,adj,default,"She is poor, but not destitute.",0.31,True,cross-scale/human_data/g18.csv,"She is poor, but not",destitute, destitute,.,"She is poor, but not destitute.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/poor_destitute.json,1021,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_056__template_default__possible_certain,g18,Gotzner et al. (2018),g18_056,possible/certain,possible,certain,possible,certain,adj,default,"It is possible, but not certain.",0.58,True,cross-scale/human_data/g18.csv,"It is possible, but not",certain, certain,.,"It is possible, but not certain.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/possible_certain.json,61,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_015__template_default__pretty_gorgeous,g18,Gotzner et al. (2018),g18_015,pretty/gorgeous,pretty,gorgeous,pretty,gorgeous,adj,default,"She is pretty, but not gorgeous.",0.19,True,cross-scale/human_data/g18.csv,"She is pretty, but not",gorgeous, gorgeous,.,"She is pretty, but not gorgeous.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/pretty_gorgeous.json,147,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_058__template_default__quiet_inaudible,g18,Gotzner et al. (2018),g18_058,quiet/inaudible,quiet,inaudible,quiet,inaudible,adj,default,"It is quiet, but not inaudible.",0.63,True,cross-scale/human_data/g18.csv,"It is quiet, but not",inaudible, inaudible,.,"It is quiet, but not inaudible.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/quiet_inaudible.json,372,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_028__template_default__rainy_pouring,g18,Gotzner et al. (2018),g18_028,rainy/pouring,rainy,pouring,rainy,pouring,adj,default,"It is rainy, but not pouring.",0.29,True,cross-scale/human_data/g18.csv,"It is rainy, but not",pouring, pouring,.,"It is rainy, but not pouring.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/rainy_pouring.json,1018,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_063__template_default__rare_extinct,g18,Gotzner et al. (2018),g18_063,rare/extinct,rare,extinct,rare,extinct,adj,default,"It is rare, but not extinct.",0.74,True,cross-scale/human_data/g18.csv,"It is rare, but not",extinct, extinct,.,"It is rare, but not extinct.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/rare_extinct.json,1043,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_067__template_default__satifisfactory_impeccable,g18,Gotzner et al. (2018),g18_067,satifisfactory/impeccable,satifisfactory,impeccable,satifisfactory,impeccable,adj,default,"It is satifisfactory, but not impeccable.",0.79,True,cross-scale/human_data/g18.csv,"It is satifisfactory, but not",impeccable, impeccable,.,"It is satifisfactory, but not impeccable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/satifisfactory_impeccable.json,559,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_066__template_default__scarce_unavailable,g18,Gotzner et al. (2018),g18_066,scarce/unavailable,scarce,unavailable,scarce,unavailable,adj,default,"It is scarce, but not unavailable.",0.76,True,cross-scale/human_data/g18.csv,"It is scarce, but not",unavailable, unavailable,.,"It is scarce, but not unavailable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/scarce_unavailable.json,532,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_034__template_default__scared_petrified,g18,Gotzner et al. (2018),g18_034,scared/petrified,scared,petrified,scared,petrified,adj,default,"She is scared, but not petrified.",0.32,True,cross-scale/human_data/g18.csv,"She is scared, but not",petrified, petrified,.,"She is scared, but not petrified.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/scared_petrified.json,1023,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_047__template_default__sick_terminally ill,g18,Gotzner et al. (2018),g18_047,sick/terminally ill,sick,terminally ill,sick,terminally ill,adj,default,"She is sick, but not terminally ill.",0.45,True,cross-scale/human_data/g18.csv,"She is sick, but not",terminally ill, terminally ill,.,"She is sick, but not terminally ill.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/sick_terminally ill.json,1033,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_024__template_default__sickish_sick,g18,Gotzner et al. (2018),g18_024,sickish/sick,sickish,sick,sickish,sick,adj,default,"He is sickish, but not sick.",0.25,True,cross-scale/human_data/g18.csv,"He is sickish, but not",sick, sick,.,"He is sickish, but not sick.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/sickish_sick.json,1016,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_035__template_default__silly_idiotic,g18,Gotzner et al. (2018),g18_035,silly/idiotic,silly,idiotic,silly,idiotic,adj,default,"That is silly, but not idiotic.",0.32,True,cross-scale/human_data/g18.csv,"That is silly, but not",idiotic, idiotic,.,"That is silly, but not idiotic.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/silly_idiotic.json,1024,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_043__template_default__silly_ridiculous,g18,Gotzner et al. (2018),g18_043,silly/ridiculous,silly,ridiculous,silly,ridiculous,adj,default,"It is silly, but not ridiculous.",0.39,True,cross-scale/human_data/g18.csv,"It is silly, but not",ridiculous, ridiculous,.,"It is silly, but not ridiculous.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/silly_ridiculous.json,1030,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_070__template_default__sleepy_asleep,g18,Gotzner et al. (2018),g18_070,sleepy/asleep,sleepy,asleep,sleepy,asleep,adj,default,"He is sleepy, but not asleep.",0.81,True,cross-scale/human_data/g18.csv,"He is sleepy, but not",asleep, asleep,.,"He is sleepy, but not asleep.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/sleepy_asleep.json,1045,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
