prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,weak_sentence_frame,weak_surface_in_sentence,target_text,context_text,continuation_text,moved_prompt_boundary_text,suffix_text,prompt_with_blank,full_text,prompt_source,weak_extraction_method,stronger_surface_method,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space
g18__g18_020__template_default__content_happy__no_frame,g18,Gotzner et al. (2018),g18_020,content/happy,content,happy,content,happy,adj,default,"He is content, but not happy.",0.22,True,cross-scale/human_data/g18.csv,He is content.,content,happy,He is, happy, ,.,He is ___.,He is happy.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_045__template_default__cool_cold__no_frame,g18,Gotzner et al. (2018),g18_045,cool/cold,cool,cold,cool,cold,adj,default,"It is cool, but not cold.",0.43,True,cross-scale/human_data/g18.csv,It is cool.,cool,cold,It is, cold, ,.,It is ___.,It is cold.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_010__template_default__damaged_broken__no_frame,g18,Gotzner et al. (2018),g18_010,damaged/broken,damaged,broken,damaged,broken,adj,default,"It is damaged, but not broken.",0.16,True,cross-scale/human_data/g18.csv,It is damaged.,damaged,broken,It is, broken, ,.,It is ___.,It is broken.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_031__template_default__damp_wet__no_frame,g18,Gotzner et al. (2018),g18_031,damp/wet,damp,wet,damp,wet,adj,default,"It is damp, but not wet.",0.3,True,cross-scale/human_data/g18.csv,It is damp.,damp,wet,It is, wet, ,.,It is ___.,It is wet.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_040__template_default__dark_black__no_frame,g18,Gotzner et al. (2018),g18_040,dark/black,dark,black,dark,black,adj,default,"That is dark, but not black.",0.37,True,cross-scale/human_data/g18.csv,That is dark.,dark,black,That is, black, ,.,That is ___.,That is black.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_064__template_default__difficult_impossible__no_frame,g18,Gotzner et al. (2018),g18_064,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"It is difficult, but not impossible.",0.76,True,cross-scale/human_data/g18.csv,It is difficult.,difficult,impossible,It is, impossible, ,.,It is ___.,It is impossible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_007__template_default__dirty_filthy__no_frame,g18,Gotzner et al. (2018),g18_007,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"It is dirty, but not filthy.",0.14,True,cross-scale/human_data/g18.csv,It is dirty.,dirty,filthy,It is, filthy, ,.,It is ___.,It is filthy.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_002__template_default__drunk_plastered__no_frame,g18,Gotzner et al. (2018),g18_002,drunk/plastered,drunk,plastered,drunk,plastered,adj,default,"He is drunk, but not plastered.",0.11,True,cross-scale/human_data/g18.csv,He is drunk.,drunk,plastered,He is, plastered, ,.,He is ___.,He is plastered.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_018__template_default__dry_parched__no_frame,g18,Gotzner et al. (2018),g18_018,dry/parched,dry,parched,dry,parched,adj,default,"It is dry, but not parched.",0.22,True,cross-scale/human_data/g18.csv,It is dry.,dry,parched,It is, parched, ,.,It is ___.,It is parched.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_008__template_default__fat_obese__no_frame,g18,Gotzner et al. (2018),g18_008,fat/obese,fat,obese,fat,obese,adj,default,"He is fat, but not obese.",0.16,True,cross-scale/human_data/g18.csv,He is fat.,fat,obese,He is, obese, ,.,He is ___.,He is obese.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_044__template_default__faulty_non-functional__no_frame,g18,Gotzner et al. (2018),g18_044,faulty/non-functional,faulty,non-functional,faulty,non-functional,adj,default,"It is faulty, but not non-functional.",0.39,True,cross-scale/human_data/g18.csv,It is faulty.,faulty,non-functional,It is, non-functional, ,.,It is ___.,It is non-functional.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_026__template_default__funny_hilarious__no_frame,g18,Gotzner et al. (2018),g18_026,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"That is funny, but not hilarious.",0.27,True,cross-scale/human_data/g18.csv,That is funny.,funny,hilarious,That is, hilarious, ,.,That is ___.,That is hilarious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_059__template_default__good_excellent__no_frame,g18,Gotzner et al. (2018),g18_059,good/excellent,good,excellent,good,excellent,adj,default,"It is good, but not excellent.",0.65,True,cross-scale/human_data/g18.csv,It is good.,good,excellent,It is, excellent, ,.,It is ___.,It is excellent.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_055__template_default__good_perfect__no_frame,g18,Gotzner et al. (2018),g18_055,good/perfect,good,perfect,good,perfect,adj,default,"It is good, but not perfect.",0.58,True,cross-scale/human_data/g18.csv,It is good.,good,perfect,It is, perfect, ,.,It is ___.,It is perfect.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_013__template_default__happy_delighted__no_frame,g18,Gotzner et al. (2018),g18_013,happy/delighted,happy,delighted,happy,delighted,adj,default,"He is happy, but not delighted.",0.19,True,cross-scale/human_data/g18.csv,He is happy.,happy,delighted,He is, delighted, ,.,He is ___.,He is delighted.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_053__template_default__hard_unsolvable__no_frame,g18,Gotzner et al. (2018),g18_053,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"It is hard, but not unsolvable.",0.52,True,cross-scale/human_data/g18.csv,It is hard.,hard,unsolvable,It is, unsolvable, ,.,It is ___.,It is unsolvable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_038__template_default__hot_scalding__no_frame,g18,Gotzner et al. (2018),g18_038,hot/scalding,hot,scalding,hot,scalding,adj,default,"It is hot, but not scalding.",0.35,True,cross-scale/human_data/g18.csv,It is hot.,hot,scalding,It is, scalding, ,.,It is ___.,It is scalding.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_041__template_default__hungry_starving__no_frame,g18,Gotzner et al. (2018),g18_041,hungry/starving,hungry,starving,hungry,starving,adj,default,"He is hungry, but not starving.",0.38,True,cross-scale/human_data/g18.csv,He is hungry.,hungry,starving,He is, starving, ,.,He is ___.,He is starving.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_014__template_default__intelligent_brilliant__no_frame,g18,Gotzner et al. (2018),g18_014,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,default,"He is intelligent, but not brilliant.",0.19,True,cross-scale/human_data/g18.csv,He is intelligent.,intelligent,brilliant,He is, brilliant, ,.,He is ___.,He is brilliant.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_019__template_default__large_gigantic__no_frame,g18,Gotzner et al. (2018),g18_019,large/gigantic,large,gigantic,large,gigantic,adj,default,"It is large, but not gigantic.",0.22,True,cross-scale/human_data/g18.csv,It is large.,large,gigantic,It is, gigantic, ,.,It is ___.,It is gigantic.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_027__template_default__light_white__no_frame,g18,Gotzner et al. (2018),g18_027,light/white,light,white,light,white,adj,default,"That is light, but not white.",0.27,True,cross-scale/human_data/g18.csv,That is light.,light,white,That is, white, ,.,That is ___.,That is white.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_068__template_default__likely_certain__no_frame,g18,Gotzner et al. (2018),g18_068,likely/certain,likely,certain,likely,certain,adj,default,"It is likely, but not certain.",0.79,True,cross-scale/human_data/g18.csv,It is likely.,likely,certain,It is, certain, ,.,It is ___.,It is certain.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_037__template_default__loud_defeaning__no_frame,g18,Gotzner et al. (2018),g18_037,loud/defeaning,loud,defeaning,loud,defeaning,adj,default,"It is loud, but not defeaning.",0.34,True,cross-scale/human_data/g18.csv,It is loud.,loud,defeaning,It is, defeaning, ,.,It is ___.,It is defeaning.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_069__template_default__low_depleted__no_frame,g18,Gotzner et al. (2018),g18_069,low/depleted,low,depleted,low,depleted,adj,default,"It is low, but not depleted.",0.81,True,cross-scale/human_data/g18.csv,It is low.,low,depleted,It is, depleted, ,.,It is ___.,It is depleted.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_060__template_default__mediocre_bad__no_frame,g18,Gotzner et al. (2018),g18_060,mediocre/bad,mediocre,bad,mediocre,bad,adj,default,"It is mediocre, but not bad.",0.7,True,cross-scale/human_data/g18.csv,It is mediocre.,mediocre,bad,It is, bad, ,.,It is ___.,It is bad.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_039__template_default__memorable_unforgettable__no_frame,g18,Gotzner et al. (2018),g18_039,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,default,"It is memorable, but not unforgettable.",0.37,True,cross-scale/human_data/g18.csv,It is memorable.,memorable,unforgettable,It is, unforgettable, ,.,It is ___.,It is unforgettable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_033__template_default__old_ancient__no_frame,g18,Gotzner et al. (2018),g18_033,old/ancient,old,ancient,old,ancient,adj,default,"That is old, but not ancient.",0.32,True,cross-scale/human_data/g18.csv,That is old.,old,ancient,That is, ancient, ,.,That is ___.,That is ancient.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_050__template_default__palatable_delicious__no_frame,g18,Gotzner et al. (2018),g18_050,palatable/delicious,palatable,delicious,palatable,delicious,adj,default,"It is palatable, but not delicious.",0.47,True,cross-scale/human_data/g18.csv,It is palatable.,palatable,delicious,It is, delicious, ,.,It is ___.,It is delicious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_032__template_default__poor_destitute__no_frame,g18,Gotzner et al. (2018),g18_032,poor/destitute,poor,destitute,poor,destitute,adj,default,"She is poor, but not destitute.",0.31,True,cross-scale/human_data/g18.csv,She is poor.,poor,destitute,She is, destitute, ,.,She is ___.,She is destitute.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_056__template_default__possible_certain__no_frame,g18,Gotzner et al. (2018),g18_056,possible/certain,possible,certain,possible,certain,adj,default,"It is possible, but not certain.",0.58,True,cross-scale/human_data/g18.csv,It is possible.,possible,certain,It is, certain, ,.,It is ___.,It is certain.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_015__template_default__pretty_gorgeous__no_frame,g18,Gotzner et al. (2018),g18_015,pretty/gorgeous,pretty,gorgeous,pretty,gorgeous,adj,default,"She is pretty, but not gorgeous.",0.19,True,cross-scale/human_data/g18.csv,She is pretty.,pretty,gorgeous,She is, gorgeous, ,.,She is ___.,She is gorgeous.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_058__template_default__quiet_inaudible__no_frame,g18,Gotzner et al. (2018),g18_058,quiet/inaudible,quiet,inaudible,quiet,inaudible,adj,default,"It is quiet, but not inaudible.",0.63,True,cross-scale/human_data/g18.csv,It is quiet.,quiet,inaudible,It is, inaudible, ,.,It is ___.,It is inaudible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_028__template_default__rainy_pouring__no_frame,g18,Gotzner et al. (2018),g18_028,rainy/pouring,rainy,pouring,rainy,pouring,adj,default,"It is rainy, but not pouring.",0.29,True,cross-scale/human_data/g18.csv,It is rainy.,rainy,pouring,It is, pouring, ,.,It is ___.,It is pouring.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_063__template_default__rare_extinct__no_frame,g18,Gotzner et al. (2018),g18_063,rare/extinct,rare,extinct,rare,extinct,adj,default,"It is rare, but not extinct.",0.74,True,cross-scale/human_data/g18.csv,It is rare.,rare,extinct,It is, extinct, ,.,It is ___.,It is extinct.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_067__template_default__satifisfactory_impeccable__no_frame,g18,Gotzner et al. (2018),g18_067,satifisfactory/impeccable,satifisfactory,impeccable,satifisfactory,impeccable,adj,default,"It is satifisfactory, but not impeccable.",0.79,True,cross-scale/human_data/g18.csv,It is satifisfactory.,satifisfactory,impeccable,It is, impeccable, ,.,It is ___.,It is impeccable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_066__template_default__scarce_unavailable__no_frame,g18,Gotzner et al. (2018),g18_066,scarce/unavailable,scarce,unavailable,scarce,unavailable,adj,default,"It is scarce, but not unavailable.",0.76,True,cross-scale/human_data/g18.csv,It is scarce.,scarce,unavailable,It is, unavailable, ,.,It is ___.,It is unavailable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_034__template_default__scared_petrified__no_frame,g18,Gotzner et al. (2018),g18_034,scared/petrified,scared,petrified,scared,petrified,adj,default,"She is scared, but not petrified.",0.32,True,cross-scale/human_data/g18.csv,She is scared.,scared,petrified,She is, petrified, ,.,She is ___.,She is petrified.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_047__template_default__sick_terminally ill__no_frame,g18,Gotzner et al. (2018),g18_047,sick/terminally ill,sick,terminally ill,sick,terminally ill,adj,default,"She is sick, but not terminally ill.",0.45,True,cross-scale/human_data/g18.csv,She is sick.,sick,terminally ill,She is, terminally ill, ,.,She is ___.,She is terminally ill.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_024__template_default__sickish_sick__no_frame,g18,Gotzner et al. (2018),g18_024,sickish/sick,sickish,sick,sickish,sick,adj,default,"He is sickish, but not sick.",0.25,True,cross-scale/human_data/g18.csv,He is sickish.,sickish,sick,He is, sick, ,.,He is ___.,He is sick.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_035__template_default__silly_idiotic__no_frame,g18,Gotzner et al. (2018),g18_035,silly/idiotic,silly,idiotic,silly,idiotic,adj,default,"That is silly, but not idiotic.",0.32,True,cross-scale/human_data/g18.csv,That is silly.,silly,idiotic,That is, idiotic, ,.,That is ___.,That is idiotic.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
