experiment,condition,item_id,N,response_rate,trigger_lemma,query_lemma,trigger_surface,query_surface,trigger_logprob,query_logprob,ordering_score,query_more_likely_than_trigger,score_type,model_name
experiment_1,ESI,18,40,0.2000000000,harmful,deadly,harmful,deadly,-11.0664210320,-9.4582586288,1.6081624032,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,19,40,0.5000000000,here,everywhere,here,everywhere,-6.4566292763,-4.3326035738,2.1240257025,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,20,40,0.2000000000,hungry,starving,hungry,starving,-8.5378403664,-13.5138061047,-4.9759657383,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,21,40,0.0500000000,intelligent,brilliant,intelligent,brilliant,-11.1817924976,-10.8901827335,0.2916097641,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,22,40,0.1750000000,intimidating,terrifying,intimidating,terrifying,-12.7322672606,-12.9791877270,-0.2469204664,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,23,40,0.7000000000,largely,totally,largely,totally,-18.6386809349,-15.4185862541,3.2200946808,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,24,40,0.1000000000,like,love,likes,loves,-13.2510175705,-12.3794269562,0.8715906143,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,25,40,0.8750000000,match,exceed,matches,exceeds,-24.3195984960,-28.0037867483,-3.6841882523,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,26,40,0.8750000000,mostly,entirely,mostly,entirely,-11.4009178877,-12.1887553930,-0.7878375053,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,27,40,0.3250000000,old,ancient,old,ancient,-9.3093800545,-11.8201239109,-2.5107438564,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,28,40,0.7000000000,once,twice,once,twice,-8.8611240387,-10.8502671719,-1.9891431332,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,29,40,0.2500000000,or,and,or,and,-12.6317851543,-9.2997349501,3.3320502042,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,30,40,0.1000000000,overweight,obese,overweight,obese,-11.0723866224,-13.0561532974,-1.9837666750,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,31,40,0.6000000000,overwhelmingly,unanimously,overwhelmingly,unanimously,-11.2018122673,-10.7092156410,0.4925966263,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,32,40,0.4750000000,palatable,delicious,palatable,delicious,-17.0119028091,-8.3994166851,8.6124861240,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,33,40,0.9500000000,partially,completely,partially,completely,-11.4266414642,-9.0017364025,2.4249050617,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,34,40,0.6500000000,permit,require,permits,requires,-24.9265909195,-25.4547696114,-0.5281786919,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,35,40,0.0500000000,polished,impeccable,polished,impeccable,-12.1486806870,-11.2832039595,0.8654767275,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,36,40,0.8250000000,possible,certain,possible,certain,-7.1068940163,-10.9977703094,-3.8908762931,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,37,40,0.0750000000,pretty,beautiful,pretty,beautiful,-8.0406165123,-7.6953266859,0.3452898264,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,38,40,0.7750000000,primarily,exclusively,primarily,exclusively,-17.6517429352,-19.6412799358,-1.9895370006,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,39,40,0.5500000000,probably,necessarily,probably,necessarily,-11.5631146431,-14.5847544670,-3.0216398239,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,40,40,0.8000000000,reduce,eliminate,reduced,eliminated,-23.5998802185,-25.1784796715,-1.5785994530,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,41,40,0.0250000000,scared,petrified,scared,petrified,-12.4572076797,-14.2060159957,-1.7488083160,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,42,40,0.0750000000,serious,life-threatening,serious,life-threatening,-7.3482073545,-7.8429955244,-0.4947881699,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,43,40,0.7250000000,similar,identical,similar,identical,-6.6907305717,-6.8546166420,-0.1638860703,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,44,40,0.8250000000,slow,stop,slowed,stopped,-12.6630578041,-9.9382743835,2.7247834206,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,45,40,0.1750000000,small,tiny,small,tiny,-8.6224446297,-10.8662996292,-2.2438549995,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,46,40,0.1000000000,snug,tight,snug,tight,-12.9291336536,-9.7139954567,3.2151381969,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,47,40,0.9250000000,some,all,some,all,-15.1333466768,-15.4722971916,-0.3389505148,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,48,40,0.2750000000,start,finish,started,finished,-14.6757059097,-11.0587558746,3.6169500351,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,49,40,0.2500000000,survive,thrive,survived,thrived,-14.6228737831,-16.3092026711,-1.6863288880,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,50,40,0.0250000000,tired,exhausted,tired,exhausted,-8.7037608624,-11.4412701130,-2.7375092506,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,51,40,0.6500000000,tolerate,encourage,tolerate,encourage,-27.1723566055,-24.0386657715,3.1336908340,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,52,40,0.7750000000,try,succeed,tried,succeeded,-19.8586378098,-16.3980803490,3.4605574608,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,53,40,0.0500000000,ugly,hideous,ugly,hideous,-11.0641291142,-11.7767196447,-0.7125905305,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,54,40,0.1000000000,understandable,articulate,understandable,articulate,-13.3872754574,-18.6228742599,-5.2355988025,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,55,40,0.0500000000,unpleasant,disgusting,unpleasant,disgusting,-13.9352998734,-8.5589361191,5.3763637543,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,56,40,0.6500000000,usually,always,usually,always,-20.1924574375,-17.8772420883,2.3152153492,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,57,40,0.1500000000,want,need,wants,needs,-21.1660339832,-20.2265813351,0.9394526481,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,58,40,0.4000000000,warm,hot,warm,hot,-6.1482644081,-5.3572878838,0.7909765243,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,59,40,0.1250000000,well,superbly,well,superbly,-2.7690358162,-9.2737107202,-6.5046749040,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,60,40,0.0750000000,willing,eager,willing,eager,-14.9458227158,-14.2124500275,0.7333726883,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,1,39,0.7179487179,allowed,obligatory,allowed,obligatory,-3.4207460880,-12.6612663269,-9.2405202389,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,2,42,0.1190476190,attractive,stunning,attractive,stunning,-4.5819971561,-8.3227903843,-3.7407932282,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,3,39,0.1538461538,begin,complete,began,completed,-6.2898008376,-10.3415136337,-4.0517127961,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,4,42,0.3333333333,believe,know,believes,knows,-5.5723243654,-8.8386837840,-3.2663594186,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,5,39,0.1282051282,big,enormous,big,enormous,-3.4778090715,-8.0714223385,-4.5936132670,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,6,42,0.4285714286,cool,cold,cool,cold,-3.8335243464,-5.7596065998,-1.9260822534,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,7,39,0.2564102564,damage,destroy,damage,destroy,-3.6476414502,-8.2670731246,-4.6194316744,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,8,42,0.1666666667,dark,black,dark,black,-3.2343471050,-6.2251555920,-2.9908084870,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,9,39,0.6923076923,difficult,impossible,difficult,impossible,-4.6268563271,-7.1416635513,-2.5148072242,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,10,42,0.0476190476,dirty,filthy,dirty,filthy,-4.0274460316,-5.7631499767,-1.7357039451,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,11,39,0.2564102564,dislike,loathe,dislikes,loathes,-8.4715078473,-10.8707199339,-2.3992120866,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,12,42,0.4047619048,double,triple,double,triple,-5.2333500385,-5.9696104527,-0.7362604142,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,13,39,0.6153846154,equally,more,equally,more,-6.3514468968,-6.4725406170,-0.1210937202,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,14,42,0.1190476190,funny,hilarious,funny,hilarious,-3.8733953238,-4.4904173613,-0.6170220375,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,15,39,0.2564102564,good,excellent,good,excellent,-4.0437746048,-5.8999176025,-1.8561429977,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,16,42,0.0952380952,happy,ecstatic,happy,ecstatic,-4.4832699299,-6.6965136528,-2.2132437229,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,17,39,0.6153846154,hard,unsolvable,hard,unsolvable,-4.0418976545,-10.6026356816,-6.5607380271,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,18,42,0.1666666667,harmful,deadly,harmful,deadly,-4.7511222363,-7.6115939617,-2.8604717254,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,19,39,0.3076923077,here,everywhere,here,everywhere,-3.7180716991,-4.8005396128,-1.0824679137,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,20,42,0.2619047619,hungry,starving,hungry,starving,-3.3098428249,-5.8376264572,-2.5277836323,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,21,39,0.1025641026,intelligent,brilliant,intelligent,brilliant,-4.0493497849,-6.3986034393,-2.3492536544,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,22,42,0.1190476190,intimidating,terrifying,intimidating,terrifying,-5.6292171478,-8.6149239540,-2.9857068062,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,23,39,0.6153846154,largely,totally,largely,totally,-5.5286834538,-7.1305156350,-1.6018321812,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,24,42,0.1428571429,like,love,likes,loves,-5.1753094196,-4.4904798269,0.6848295927,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,25,39,0.6923076923,match,exceed,matches,exceeds,-7.0366550498,-9.6179296598,-2.5812746100,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,26,42,0.7857142857,mostly,entirely,mostly,entirely,-3.6674898565,-10.1080490500,-6.4405591935,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,27,39,0.1282051282,old,ancient,old,ancient,-3.7569353580,-7.3060860634,-3.5491507054,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,28,42,0.7142857143,once,twice,once,twice,-4.9866888523,-3.8614059687,1.1252828836,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,29,39,0.2051282051,or,and,or,and,-9.0670055300,-4.7981503308,4.2688551992,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,30,42,0.1904761905,overweight,obese,overweight,obese,-4.1497384310,-5.9272818565,-1.7775434255,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,31,39,0.3846153846,overwhelmingly,unanimously,overwhelmingly,unanimously,-2.3089374304,-7.1899142265,-4.8809767961,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,32,42,0.5238095238,palatable,delicious,palatable,delicious,-4.4818310170,-4.9404380322,-0.4586070152,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,33,39,0.8974358974,partially,completely,partially,completely,-6.9873461127,-6.9851891994,0.0021569133,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,34,42,0.6190476190,permit,require,permits,requires,-5.8405198455,-11.6081535816,-5.7676337361,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,35,39,0.0769230769,polished,impeccable,polished,impeccable,-5.2256948948,-8.4472823143,-3.2215874195,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,36,42,0.5476190476,possible,certain,possible,certain,-4.0419926643,-9.4695963860,-5.4276037217,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,37,39,0.1025641026,pretty,beautiful,pretty,beautiful,-4.2127436399,-4.6463921070,-0.4336484671,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,38,42,0.7380952381,primarily,exclusively,primarily,exclusively,-4.8389755487,-9.1727629602,-4.3337874115,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,39,39,0.4615384615,probably,necessarily,probably,necessarily,-4.1918655187,-12.2132666036,-8.0214010849,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,40,42,0.5476190476,reduce,eliminate,reduced,eliminated,-6.5924586058,-14.2105433941,-7.6180847883,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,41,39,0.1282051282,scared,petrified,scared,petrified,-4.7257335186,-7.6205741658,-2.8948406472,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,42,42,0.1428571429,serious,life-threatening,serious,life-threatening,-3.0416790247,-6.3032275438,-3.2615485191,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,43,39,0.7435897436,similar,identical,similar,identical,-4.0590391159,-6.6608107090,-2.6017715931,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,44,42,0.6428571429,slow,stop,slowed,stopped,-9.4658932686,-5.6175136566,3.8483796120,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,45,39,0.1282051282,small,tiny,small,tiny,-3.5584243536,-6.9744367599,-3.4160124063,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,46,42,0.0952380952,snug,tight,snug,tight,-4.7556233406,-5.2291212082,-0.4734978676,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,47,39,0.7948717949,some,all,some,all,-5.8318535089,-5.7894456387,0.0424078702,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,48,42,0.2142857143,start,finish,started,finished,-4.7825931311,-8.6840145588,-3.9014214277,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,49,39,0.2820512821,survive,thrive,survived,thrived,-5.5196731091,-9.4222623110,-3.9025892019,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,50,42,0.0714285714,tired,exhausted,tired,exhausted,-3.7475942373,-5.7143955231,-1.9668012858,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,51,39,0.6923076923,tolerate,encourage,tolerate,encourage,-7.3991520405,-10.8610143661,-3.4618623256,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,52,42,0.2857142857,try,succeed,tried,succeeded,-4.5942124128,-11.1698136330,-6.5756012202,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,53,39,0.0256410256,ugly,hideous,ugly,hideous,-5.1067686081,-6.6479238868,-1.5411552787,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,54,42,0.2380952381,understandable,articulate,understandable,articulate,-5.5558600426,-12.7015132904,-7.1456532478,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,55,39,0.0256410256,unpleasant,disgusting,unpleasant,disgusting,-5.9100980759,-5.1808571815,0.7292408944,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,56,42,0.5952380952,usually,always,usually,always,-4.6471306086,-4.4096798301,0.2374507785,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,57,39,0.0769230769,want,need,wants,needs,-6.6526080966,-6.7549322546,-0.1023241580,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,58,42,0.4523809524,warm,hot,warm,hot,-3.8130199909,-5.5393555164,-1.7263355255,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,59,39,0.1282051282,well,superbly,well,superbly,-2.6854547262,-9.5150691271,-6.8296144009,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Eweak,60,42,0.2380952381,willing,eager,willing,eager,-3.1168316603,-9.7989780903,-6.6821464300,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,1,42,0.7857142857,allowed,obligatory,allowed,obligatory,-7.3520793915,-5.0939242840,2.2581551075,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,2,39,0.5128205128,attractive,stunning,attractive,stunning,-8.1602344513,-4.5425882339,3.6176462174,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,3,42,0.6904761905,begin,complete,began,completed,-14.7954539210,-6.4537162334,8.3417376876,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,4,39,0.6153846154,believe,know,believes,knows,-8.1401851848,-5.6363516450,2.5038335398,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,5,42,0.3095238095,big,enormous,big,enormous,-5.1483106613,-3.8772786856,1.2710319757,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,6,39,0.4871794872,cool,cold,cool,cold,-5.9440903664,-3.9558968544,1.9881935120,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,7,42,0.7619047619,damage,destroy,damage,destroy,-9.2165308297,-3.5067606270,5.7097702027,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,8,39,0.6153846154,dark,black,dark,black,-5.2752213478,-3.7186229229,1.5565984249,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,9,42,0.8809523810,difficult,impossible,difficult,impossible,-7.0567140579,-4.2191841602,2.8375298977,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,10,39,0.3333333333,dirty,filthy,dirty,filthy,-5.6329069138,-3.4421646595,2.1907422543,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,11,42,0.4761904762,dislike,loathe,dislikes,loathes,-9.3731050491,-7.4250868056,1.9480182435,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,12,39,0.9487179487,double,triple,double,triple,-4.9464284182,-5.4055925608,-0.4591641426,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,13,42,0.8809523810,equally,more,equally,more,-9.9563258290,-5.0336080790,4.9227177500,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,14,39,0.3589743590,funny,hilarious,funny,hilarious,-5.1027269363,-3.4246549606,1.6780719757,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,15,42,0.7142857143,good,excellent,good,excellent,-4.8200411797,-3.8666607141,0.9533804656,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,16,39,0.4871794872,happy,ecstatic,happy,ecstatic,-6.6173830032,-4.5180799961,2.0993030071,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,17,42,0.7619047619,hard,unsolvable,hard,unsolvable,-8.7537927628,-4.4108762667,4.3429164961,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,18,39,0.6153846154,harmful,deadly,harmful,deadly,-8.0396184921,-3.8123528957,4.2272655964,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,19,42,0.5714285714,here,everywhere,here,everywhere,-6.9589707851,-3.1292623281,3.8297084570,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,20,39,0.4358974359,hungry,starving,hungry,starving,-4.4093073606,-4.2625557184,0.1467516422,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,21,42,0.3333333333,intelligent,brilliant,intelligent,brilliant,-6.7149410248,-3.5936549902,3.1212860346,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,22,39,0.4615384615,intimidating,terrifying,intimidating,terrifying,-8.4062795639,-5.6740639210,2.7322156429,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,23,42,0.7142857143,largely,totally,largely,totally,-10.0595912933,-3.9469459951,6.1126452982,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,24,39,0.6153846154,like,love,likes,loves,-6.7630228996,-4.1608992219,2.6021236777,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,25,42,0.8333333333,match,exceed,matches,exceeds,-11.7551619243,-6.6766965110,5.0784654133,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,26,39,0.9743589744,mostly,entirely,mostly,entirely,-5.5870649219,-6.3348204494,-0.7477555275,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,27,42,0.3571428571,old,ancient,old,ancient,-4.4841096401,-4.2766416073,0.2074680328,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,28,39,0.9487179487,once,twice,once,twice,-5.2718026638,-3.3840975165,1.8877051473,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,29,42,0.4761904762,or,and,or,and,-9.9880645573,-3.2920278609,6.6960366964,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,30,39,0.3846153846,overweight,obese,overweight,obese,-4.4506390095,-3.9158942699,0.5347447396,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,31,42,0.7142857143,overwhelmingly,unanimously,overwhelmingly,unanimously,-6.3301925659,-3.4726564884,2.8575360775,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,32,39,0.7948717949,palatable,delicious,palatable,delicious,-12.3599802759,-4.1503539085,8.2096263674,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,33,42,0.9761904762,partially,completely,partially,completely,-8.5226852298,-5.7447846830,2.7779005468,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,34,39,0.7692307692,permit,require,permits,requires,-12.8083617091,-5.8308235407,6.9775381684,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,35,42,0.3333333333,polished,impeccable,polished,impeccable,-11.2151389122,-3.8080750704,7.4070638418,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,36,39,0.8461538462,possible,certain,possible,certain,-6.8215053082,-5.6996479034,1.1218574048,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,37,42,0.3095238095,pretty,beautiful,pretty,beautiful,-5.3192880154,-3.4715834856,1.8477045298,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,38,39,0.8461538462,primarily,exclusively,primarily,exclusively,-6.8377336860,-5.1849641800,1.6527695060,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_2,Estrong,39,42,0.6428571429,probably,necessarily,probably,necessarily,-5.7739730179,-7.5180983171,-1.7441252992,false,candidate_plus_suffix,Qwen/Qwen2-7B
