experiment,source_file,source_row_index,item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,target_type,target_surface,prompt_text,context_text,moved_prompt_boundary_text,suffix_text,word_continuation_text,word_token_ids,word_tokens,word_token_logprobs,word_n_tokens,word_logprob,candidate_plus_suffix_text,candidate_plus_suffix_token_ids,candidate_plus_suffix_tokens,candidate_plus_suffix_token_logprobs,candidate_plus_suffix_n_tokens,candidate_plus_suffix_logprob,model_name,model_path,torch_dtype,device_map
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,6,6,ESI,,cool,cool,cold,cold,weaker,cool,The weather is ,The weather is, ,., cool,[7010],"[""Ġcool""]",[-5.2573347091674805],1,-5.2573347092, cool.,"[7010,13]","[""Ġcool"","".""]","[-5.2663679122924805,-2.8195295333862305]",2,-8.0858974457,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,6,6,ESI,,cool,cool,cold,cold,stronger,cold,The weather is ,The weather is, ,., cold,[9255],"[""Ġcold""]",[-4.0073347091674805],1,-4.0073347092, cold.,"[9255,13]","[""Ġcold"","".""]","[-4.0163679122924805,-2.613452672958374]",2,-6.6298205853,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,7,7,ESI,,damage,damage,destroy,destroy,weaker,damage,The machine might ,The machine might, , itself., damage,[5557],"[""Ġdamage""]",[-7.58870792388916],1,-7.5887079239, damage itself.,"[5557,5086,13]","[""Ġdamage"",""Ġitself"","".""]","[-7.541899681091309,-4.238229274749756,-3.3672516345977783]",3,-15.1473805904,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,7,7,ESI,,damage,damage,destroy,destroy,stronger,destroy,The machine might ,The machine might, , itself., destroy,[6921],"[""Ġdestroy""]",[-7.85433292388916],1,-7.8543329239, destroy itself.,"[6921,5086,13]","[""Ġdestroy"",""Ġitself"","".""]","[-7.807524681091309,-3.345656633377075,-2.390162706375122]",3,-13.5433440208,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,8,8,ESI,,dark,dark,black,black,weaker,dark,The sky is ,The sky is, ,., dark,[6319],"[""Ġdark""]",[-3.9008283615112305],1,-3.9008283615, dark.,"[6319,13]","[""Ġdark"","".""]","[-3.886415719985962,-2.3095641136169434]",2,-6.1959798336,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,8,8,ESI,,dark,dark,black,black,stronger,black,The sky is ,The sky is, ,., black,[3691],"[""Ġblack""]",[-5.1508283615112305],1,-5.1508283615, black.,"[3691,13]","[""Ġblack"","".""]","[-5.136415481567383,-2.1174089908599854]",2,-7.2538244724,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,9,9,ESI,,difficult,difficult,impossible,impossible,weaker,difficult,The task is ,The task is, ,., difficult,[5000],"[""Ġdifficult""]",[-10.161765098571777],1,-10.1617650986, difficult.,"[5000,13]","[""Ġdifficult"","".""]","[-10.161898612976074,-2.8002965450286865]",2,-12.9621951580,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,9,9,ESI,,difficult,difficult,impossible,impossible,stronger,impossible,The task is ,The task is, ,., impossible,[11997],"[""Ġimpossible""]",[-11.849265098571777],1,-11.8492650986, impossible.,"[11997,13]","[""Ġimpossible"","".""]","[-11.849398612976074,-2.4579200744628906]",2,-14.3073186874,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,10,10,ESI,,dirty,dirty,filthy,filthy,weaker,dirty,Zack's carpet was ,Zack's carpet was, ,., dirty,[18595],"[""Ġdirty""]",[-5.072061538696289],1,-5.0720615387, dirty.,"[18595,13]","[""Ġdirty"","".""]","[-5.072061538696289,-0.132544606924057]",2,-5.2046061456,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,10,10,ESI,,dirty,dirty,filthy,filthy,stronger,filthy,Zack's carpet was ,Zack's carpet was, ,., filthy,[77342],"[""Ġfilthy""]",[-9.759561538696289],1,-9.7595615387, filthy.,"[77342,13]","[""Ġfilthy"","".""]","[-9.759561538696289,-0.32601407170295715]",2,-10.0855756104,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,11,11,ESI,,dislike,dislikes,loathe,loathes,weaker,dislikes,The doctor ,The doctor, , coffee., dislikes,[98885],"[""Ġdislikes""]",[-12.701760292053223],1,-12.7017602921, dislikes coffee.,"[98885,10799,13]","[""Ġdislikes"",""Ġcoffee"","".""]","[-12.768030166625977,-6.884153842926025,-2.9346203804016113]",3,-22.5868043900,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,11,11,ESI,,dislike,dislikes,loathe,loathes,stronger,loathes,The doctor ,The doctor, , coffee., loathes,"[775,587,288]","[""Ġlo"",""ath"",""es""]","[-13.158655166625977,-2.9088656902313232,-0.012504038400948048]",3,-16.0800248953, loathes coffee.,"[775,587,288,10799,13]","[""Ġlo"",""ath"",""es"",""Ġcoffee"","".""]","[-13.158655166625977,-2.9088656902313232,-0.012504038400948048,-7.637527942657471,-2.9226267337799072]",5,-26.6401795717,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,12,12,ESI,,double,double,triple,triple,weaker,double,The sales will ,The sales will, ,., double,[1990],"[""Ġdouble""]",[-8.31209945678711],1,-8.3120994568, double.,"[1990,13]","[""Ġdouble"","".""]","[-8.37259292602539,-4.13252592086792]",2,-12.5051188469,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,12,12,ESI,,double,double,triple,triple,stronger,triple,The sales will ,The sales will, ,., triple,[23725],"[""Ġtriple""]",[-10.68709945678711],1,-10.6870994568, triple.,"[23725,13]","[""Ġtriple"","".""]","[-10.73196792602539,-3.773475170135498]",2,-14.5054430962,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,13,13,ESI,,equally,equally,more,more,weaker,equally,That candidate is ,That candidate is, , skilled., equally,[18308],"[""Ġequally""]",[-8.434950828552246],1,-8.4349508286, equally skilled.,"[18308,25530,13]","[""Ġequally"",""Ġskilled"","".""]","[-8.396502494812012,-4.157449245452881,-4.225157737731934]",3,-16.7791094780,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,13,13,ESI,,equally,equally,more,more,stronger,more,That candidate is ,That candidate is, , skilled., more,[803],"[""Ġmore""]",[-5.606825828552246],1,-5.6068258286, more skilled.,"[803,25530,13]","[""Ġmore"",""Ġskilled"","".""]","[-5.568377494812012,-6.048433780670166,-4.2483015060424805]",3,-15.8651127815,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,14,14,ESI,,funny,funny,hilarious,hilarious,weaker,funny,The movie is ,The movie is, ,., funny,[15173],"[""Ġfunny""]",[-5.441192626953125],1,-5.4411926270, funny.,"[15173,13]","[""Ġfunny"","".""]","[-5.43728494644165,-2.4328818321228027]",2,-7.8701667786,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,14,14,ESI,,funny,funny,hilarious,hilarious,stronger,hilarious,The movie is ,The movie is, ,., hilarious,[40267],"[""Ġhilarious""]",[-6.597442626953125],1,-6.5974426270, hilarious.,"[40267,13]","[""Ġhilarious"","".""]","[-6.59353494644165,-1.7050795555114746]",2,-8.2986145020,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,15,15,ESI,,good,good,excellent,excellent,weaker,good,The movie is ,The movie is, ,., good,[1661],"[""Ġgood""]",[-5.566192626953125],1,-5.5661926270, good.,"[1661,13]","[""Ġgood"","".""]","[-5.59353494644165,-2.344334363937378]",2,-7.9378693104,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,15,15,ESI,,good,good,excellent,excellent,stronger,excellent,The movie is ,The movie is, ,., excellent,[9073],"[""Ġexcellent""]",[-6.441192626953125],1,-6.4411926270, excellent.,"[9073,13]","[""Ġexcellent"","".""]","[-6.43728494644165,-1.835273265838623]",2,-8.2725582123,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,16,16,ESI,,happy,happy,ecstatic,ecstatic,weaker,happy,The winner was ,The winner was, ,., happy,[6247],"[""Ġhappy""]",[-9.220291137695312],1,-9.2202911377, happy.,"[6247,13]","[""Ġhappy"","".""]","[-9.233497619628906,-3.395019054412842]",2,-12.6285166740,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,16,16,ESI,,happy,happy,ecstatic,ecstatic,stronger,ecstatic,The winner was ,The winner was, ,., ecstatic,[97292],"[""Ġecstatic""]",[-11.368728637695312],1,-11.3687286377, ecstatic.,"[97292,13]","[""Ġecstatic"","".""]","[-11.393653869628906,-1.4211642742156982]",2,-12.8148181438,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,17,17,ESI,,hard,hard,unsolvable,unsolvable,weaker,hard,The problem is ,The problem is, ,., hard,[2588],"[""Ġhard""]",[-7.59187126159668],1,-7.5918712616, hard.,"[2588,13]","[""Ġhard"","".""]","[-7.6159210205078125,-2.300149917602539]",2,-9.9160709381,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,17,17,ESI,,hard,hard,unsolvable,unsolvable,stronger,unsolvable,The problem is ,The problem is, ,., unsolvable,"[6975,88097]","[""Ġuns"",""olvable""]","[-9.459671020507812,-0.7331286668777466]",2,-10.1927996874, unsolvable.,"[6975,88097,13]","[""Ġuns"",""olvable"","".""]","[-9.459671020507812,-0.7331286668777466,-2.186375141143799]",3,-12.3791748285,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,18,18,ESI,,harmful,harmful,deadly,deadly,weaker,harmful,The toxin is ,The toxin is, ,., harmful,[27756],"[""Ġharmful""]",[-7.012302875518799],1,-7.0123028755, harmful.,"[27756,13]","[""Ġharmful"","".""]","[-7.032984256744385,-4.0334367752075195]",2,-11.0664210320,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,18,18,ESI,,harmful,harmful,deadly,deadly,stronger,deadly,The toxin is ,The toxin is, ,., deadly,[24142],"[""Ġdeadly""]",[-6.793552875518799],1,-6.7935528755, deadly.,"[24142,13]","[""Ġdeadly"","".""]","[-6.814234256744385,-2.64402437210083]",2,-9.4582586288,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,19,19,ESI,,here,here,everywhere,everywhere,weaker,here,There is water ,There is water, ,., here,[1588],"[""Ġhere""]",[-4.54825496673584],1,-4.5482549667, here.,"[1588,13]","[""Ġhere"","".""]","[-4.520811080932617,-1.9358181953430176]",2,-6.4566292763,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,19,19,ESI,,here,here,everywhere,everywhere,stronger,everywhere,There is water ,There is water, ,., everywhere,[16852],"[""Ġeverywhere""]",[-2.548255205154419],1,-2.5482552052, everywhere.,"[16852,13]","[""Ġeverywhere"","".""]","[-2.5208113193511963,-1.811792254447937]",2,-4.3326035738,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,20,20,ESI,,hungry,hungry,starving,starving,weaker,hungry,The boy is ,The boy is, ,., hungry,[28956],"[""Ġhungry""]",[-6.465738296508789],1,-6.4657382965, hungry.,"[28956,13]","[""Ġhungry"","".""]","[-6.484943389892578,-2.0528969764709473]",2,-8.5378403664,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,20,20,ESI,,hungry,hungry,starving,starving,stronger,starving,The boy is ,The boy is, ,., starving,[77401],"[""Ġstarving""]",[-11.059488296508789],1,-11.0594882965, starving.,"[77401,13]","[""Ġstarving"","".""]","[-11.141193389892578,-2.372612714767456]",2,-13.5138061047,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,21,21,ESI,,intelligent,intelligent,brilliant,brilliant,weaker,intelligent,The student is ,The student is, ,., intelligent,[24514],"[""Ġintelligent""]",[-8.397336959838867],1,-8.3973369598, intelligent.,"[24514,13]","[""Ġintelligent"","".""]","[-8.392013549804688,-2.7897789478302]",2,-11.1817924976,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,21,21,ESI,,intelligent,intelligent,brilliant,brilliant,stronger,brilliant,The student is ,The student is, ,., brilliant,[19752],"[""Ġbrilliant""]",[-9.069211959838867],1,-9.0692119598, brilliant.,"[19752,13]","[""Ġbrilliant"","".""]","[-9.048263549804688,-1.841919183731079]",2,-10.8901827335,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,22,22,ESI,,intimidating,intimidating,terrifying,terrifying,weaker,intimidating,Chris's opponent was ,Chris's opponent was, ,., intimidating,[63030],"[""Ġintimidating""]",[-11.53587532043457],1,-11.5358753204, intimidating.,"[63030,13]","[""Ġintimidating"","".""]","[-11.53587532043457,-1.1963919401168823]",2,-12.7322672606,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,22,22,ESI,,intimidating,intimidating,terrifying,terrifying,stronger,terrifying,Chris's opponent was ,Chris's opponent was, ,., terrifying,[41251],"[""Ġterrifying""]",[-11.91087532043457],1,-11.9108753204, terrifying.,"[41251,13]","[""Ġterrifying"","".""]","[-11.91087532043457,-1.068312406539917]",2,-12.9791877270,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,23,23,ESI,,largely,largely,totally,totally,weaker,largely,The coast was ,The coast was, , flooded., largely,[13771],"[""Ġlargely""]",[-6.7921271324157715],1,-6.7921271324, largely flooded.,"[13771,48786,13]","[""Ġlargely"",""Ġflooded"","".""]","[-6.799762725830078,-8.540578842163086,-3.298339366912842]",3,-18.6386809349,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,23,23,ESI,,largely,largely,totally,totally,stronger,totally,The coast was ,The coast was, , flooded., totally,[12473],"[""Ġtotally""]",[-7.7921271324157715],1,-7.7921271324, totally flooded.,"[12473,48786,13]","[""Ġtotally"",""Ġflooded"","".""]","[-7.799762725830078,-5.439741611480713,-2.179081916809082]",3,-15.4185862541,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,24,24,ESI,,like,likes,love,loves,weaker,likes,The princess ,The princess, , dancing., likes,[13151],"[""Ġlikes""]",[-7.050591468811035],1,-7.0505914688, likes dancing.,"[13151,27966,13]","[""Ġlikes"",""Ġdancing"","".""]","[-7.074843883514404,-4.118161678314209,-2.058012008666992]",3,-13.2510175705,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,24,24,ESI,,like,likes,love,loves,stronger,loves,The princess ,The princess, , dancing., loves,[15803],"[""Ġloves""]",[-5.988091468811035],1,-5.9880914688, loves dancing.,"[15803,27966,13]","[""Ġloves"",""Ġdancing"","".""]","[-5.981093883514404,-4.8015217781066895,-1.596811294555664]",3,-12.3794269562,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
