prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,context_text,target_text,continuation_text,suffix_text,full_text,prompt_source,hu_test_suite_path,hu_test_suite_item_number,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space,target_token_ids,target_tokens,target_token_logprobs,target_n_tokens,target_logprob,model_name,model_path,resolved_model_path,torch_dtype,device_map
g18__g18_025__template_default__clean_spotless,g18,Gotzner et al. (2018),g18_025,clean/spotless,clean,spotless,clean,spotless,adj,default,"It is clean, but not spotless.",0.27,True,cross-scale/human_data/g18.csv,"It is clean, but not",spotless, spotless,.,"It is clean, but not spotless.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/clean_spotless.json,1017,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[7702,1717]","[""Ġspot"",""less""]","[-5.143425941467285,-0.055712372064590454]",2,-5.1991383135,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_054__template_default__cleanish_clean,g18,Gotzner et al. (2018),g18_054,cleanish/clean,cleanish,clean,cleanish,clean,adj,default,"It is cleanish, but not clean.",0.55,True,cross-scale/human_data/g18.csv,"It is cleanish, but not",clean, clean,.,"It is cleanish, but not clean.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cleanish_clean.json,1038,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[4240],"[""Ġclean""]",[-3.0859735012054443],1,-3.0859735012,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_051__template_default__cold_freezing,g18,Gotzner et al. (2018),g18_051,cold/freezing,cold,freezing,cold,freezing,adj,default,"It is cold, but not freezing.",0.49,True,cross-scale/human_data/g18.csv,"It is cold, but not",freezing, freezing,.,"It is cold, but not freezing.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cold_freezing.json,1036,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[42218],"[""Ġfreezing""]",[-2.9657962322235107],1,-2.9657962322,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_020__template_default__content_happy,g18,Gotzner et al. (2018),g18_020,content/happy,content,happy,content,happy,adj,default,"He is content, but not happy.",0.22,True,cross-scale/human_data/g18.csv,"He is content, but not",happy, happy,.,"He is content, but not happy.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/content_happy.json,19,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[6247],"[""Ġhappy""]",[-3.006758689880371],1,-3.0067586899,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_045__template_default__cool_cold,g18,Gotzner et al. (2018),g18_045,cool/cold,cool,cold,cool,cold,adj,default,"It is cool, but not cold.",0.43,True,cross-scale/human_data/g18.csv,"It is cool, but not",cold, cold,.,"It is cool, but not cold.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cool_cold.json,1032,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[9255],"[""Ġcold""]",[-0.9063237905502319],1,-0.9063237906,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_010__template_default__damaged_broken,g18,Gotzner et al. (2018),g18_010,damaged/broken,damaged,broken,damaged,broken,adj,default,"It is damaged, but not broken.",0.16,True,cross-scale/human_data/g18.csv,"It is damaged, but not",broken, broken,.,"It is damaged, but not broken.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/damaged_broken.json,1008,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[10865],"[""Ġbroken""]",[-2.339576005935669],1,-2.3395760059,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_031__template_default__damp_wet,g18,Gotzner et al. (2018),g18_031,damp/wet,damp,wet,damp,wet,adj,default,"It is damp, but not wet.",0.3,True,cross-scale/human_data/g18.csv,"It is damp, but not",wet, wet,.,"It is damp, but not wet.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/damp_wet.json,1020,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[14401],"[""Ġwet""]",[-2.800407886505127],1,-2.8004078865,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_040__template_default__dark_black,g18,Gotzner et al. (2018),g18_040,dark/black,dark,black,dark,black,adj,default,"That is dark, but not black.",0.37,True,cross-scale/human_data/g18.csv,"That is dark, but not",black, black,.,"That is dark, but not black.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dark_black.json,39,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[3691],"[""Ġblack""]",[-2.965487003326416],1,-2.9654870033,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_064__template_default__difficult_impossible,g18,Gotzner et al. (2018),g18_064,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"It is difficult, but not impossible.",0.76,True,cross-scale/human_data/g18.csv,"It is difficult, but not",impossible, impossible,.,"It is difficult, but not impossible.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/difficult_impossible.json,67,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[11997],"[""Ġimpossible""]",[-0.08470030128955841],1,-0.0847003013,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_007__template_default__dirty_filthy,g18,Gotzner et al. (2018),g18_007,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"It is dirty, but not filthy.",0.14,True,cross-scale/human_data/g18.csv,"It is dirty, but not",filthy, filthy,.,"It is dirty, but not filthy.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dirty_filthy.json,1005,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[77342],"[""Ġfilthy""]",[-4.198718547821045],1,-4.1987185478,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_002__template_default__drunk_plastered,g18,Gotzner et al. (2018),g18_002,drunk/plastered,drunk,plastered,drunk,plastered,adj,default,"He is drunk, but not plastered.",0.11,True,cross-scale/human_data/g18.csv,"He is drunk, but not",plastered, plastered,.,"He is drunk, but not plastered.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/drunk_plastered.json,1002,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[61927,291]","[""Ġplaster"",""ed""]","[-10.449182510375977,-0.002212102524936199]",2,-10.4513946129,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_018__template_default__dry_parched,g18,Gotzner et al. (2018),g18_018,dry/parched,dry,parched,dry,parched,adj,default,"It is dry, but not parched.",0.22,True,cross-scale/human_data/g18.csv,"It is dry, but not",parched, parched,.,"It is dry, but not parched.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dry_parched.json,1012,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[65202,291]","[""Ġparch"",""ed""]","[-4.775527477264404,-0.28081202507019043]",2,-5.0563395023,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_008__template_default__fat_obese,g18,Gotzner et al. (2018),g18_008,fat/obese,fat,obese,fat,obese,adj,default,"He is fat, but not obese.",0.16,True,cross-scale/human_data/g18.csv,"He is fat, but not",obese, obese,.,"He is fat, but not obese.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/fat_obese.json,1006,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[49220],"[""Ġobese""]",[-4.745566368103027],1,-4.7455663681,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_044__template_default__faulty_non-functional,g18,Gotzner et al. (2018),g18_044,faulty/non-functional,faulty,non-functional,faulty,non-functional,adj,default,"It is faulty, but not non-functional.",0.39,True,cross-scale/human_data/g18.csv,"It is faulty, but not",non-functional, non-functional,.,"It is faulty, but not non-functional.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/faulty_non-functional.json,1031,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[2477,98516]","[""Ġnon"",""-functional""]","[-8.149131774902344,-1.4564193487167358]",2,-9.6055511236,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_026__template_default__funny_hilarious,g18,Gotzner et al. (2018),g18_026,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"That is funny, but not hilarious.",0.27,True,cross-scale/human_data/g18.csv,"That is funny, but not",hilarious, hilarious,.,"That is funny, but not hilarious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/funny_hilarious.json,265,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[40267],"[""Ġhilarious""]",[-6.5789923667907715],1,-6.5789923668,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_059__template_default__good_excellent,g18,Gotzner et al. (2018),g18_059,good/excellent,good,excellent,good,excellent,adj,default,"It is good, but not excellent.",0.65,True,cross-scale/human_data/g18.csv,"It is good, but not",excellent, excellent,.,"It is good, but not excellent.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/good_excellent.json,1041,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[9073],"[""Ġexcellent""]",[-4.220593452453613],1,-4.2205934525,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_055__template_default__good_perfect,g18,Gotzner et al. (2018),g18_055,good/perfect,good,perfect,good,perfect,adj,default,"It is good, but not perfect.",0.58,True,cross-scale/human_data/g18.csv,"It is good, but not",perfect, perfect,.,"It is good, but not perfect.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/good_perfect.json,1039,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[4727],"[""Ġperfect""]",[-2.6580936908721924],1,-2.6580936909,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_013__template_default__happy_delighted,g18,Gotzner et al. (2018),g18_013,happy/delighted,happy,delighted,happy,delighted,adj,default,"He is happy, but not delighted.",0.19,True,cross-scale/human_data/g18.csv,"He is happy, but not",delighted, delighted,.,"He is happy, but not delighted.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/happy_delighted.json,221,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[33972],"[""Ġdelighted""]",[-7.96891975402832],1,-7.9689197540,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_053__template_default__hard_unsolvable,g18,Gotzner et al. (2018),g18_053,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"It is hard, but not unsolvable.",0.52,True,cross-scale/human_data/g18.csv,"It is hard, but not",unsolvable, unsolvable,.,"It is hard, but not unsolvable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hard_unsolvable.json,1037,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[6975,88097]","[""Ġuns"",""olvable""]","[-7.911023139953613,-1.8167918920516968]",2,-9.7278150320,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_038__template_default__hot_scalding,g18,Gotzner et al. (2018),g18_038,hot/scalding,hot,scalding,hot,scalding,adj,default,"It is hot, but not scalding.",0.35,True,cross-scale/human_data/g18.csv,"It is hot, but not",scalding, scalding,.,"It is hot, but not scalding.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hot_scalding.json,1027,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[1136,4747,287]","[""Ġsc"",""ald"",""ing""]","[-5.323973655700684,-3.2953875064849854,-0.028590627014636993]",3,-8.6479517892,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_041__template_default__hungry_starving,g18,Gotzner et al. (2018),g18_041,hungry/starving,hungry,starving,hungry,starving,adj,default,"He is hungry, but not starving.",0.38,True,cross-scale/human_data/g18.csv,"He is hungry, but not",starving, starving,.,"He is hungry, but not starving.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hungry_starving.json,1028,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[77401],"[""Ġstarving""]",[-3.7857072353363037],1,-3.7857072353,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_014__template_default__intelligent_brilliant,g18,Gotzner et al. (2018),g18_014,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,default,"He is intelligent, but not brilliant.",0.19,True,cross-scale/human_data/g18.csv,"He is intelligent, but not",brilliant, brilliant,.,"He is intelligent, but not brilliant.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/intelligent_brilliant.json,1011,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[19752],"[""Ġbrilliant""]",[-5.348808765411377],1,-5.3488087654,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
