prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,weak_sentence_frame,weak_surface_in_sentence,target_text,context_text,continuation_text,moved_prompt_boundary_text,suffix_text,prompt_with_blank,full_text,prompt_source,weak_extraction_method,stronger_surface_method,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space,target_token_ids,target_tokens,target_token_logprobs,target_n_tokens,target_logprob,model_name,model_path,resolved_model_path,torch_dtype,device_map
g18__g18_025__template_default__clean_spotless__no_frame,g18,Gotzner et al. (2018),g18_025,clean/spotless,clean,spotless,clean,spotless,adj,default,"It is clean, but not spotless.",0.27,True,cross-scale/human_data/g18.csv,It is clean.,clean,spotless,It is, spotless, ,.,It is ___.,It is spotless.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[7702,1717]","[""Ġspot"",""less""]","[-15.764762878417969,-1.813396692276001]",2,-17.5781595707,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_054__template_default__cleanish_clean__no_frame,g18,Gotzner et al. (2018),g18_054,cleanish/clean,cleanish,clean,cleanish,clean,adj,default,"It is cleanish, but not clean.",0.55,True,cross-scale/human_data/g18.csv,It is cleanish.,cleanish,clean,It is, clean, ,.,It is ___.,It is clean.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[4240],"[""Ġclean""]",[-10.655387878417969],1,-10.6553878784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_051__template_default__cold_freezing__no_frame,g18,Gotzner et al. (2018),g18_051,cold/freezing,cold,freezing,cold,freezing,adj,default,"It is cold, but not freezing.",0.49,True,cross-scale/human_data/g18.csv,It is cold.,cold,freezing,It is, freezing, ,.,It is ___.,It is freezing.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[42218],"[""Ġfreezing""]",[-9.764762878417969],1,-9.7647628784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_020__template_default__content_happy__no_frame,g18,Gotzner et al. (2018),g18_020,content/happy,content,happy,content,happy,adj,default,"He is content, but not happy.",0.22,True,cross-scale/human_data/g18.csv,He is content.,content,happy,He is, happy, ,.,He is ___.,He is happy.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[6247],"[""Ġhappy""]",[-6.468547821044922],1,-6.4685478210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_045__template_default__cool_cold__no_frame,g18,Gotzner et al. (2018),g18_045,cool/cold,cool,cold,cool,cold,adj,default,"It is cool, but not cold.",0.43,True,cross-scale/human_data/g18.csv,It is cool.,cool,cold,It is, cold, ,.,It is ___.,It is cold.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[9255],"[""Ġcold""]",[-8.233512878417969],1,-8.2335128784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_010__template_default__damaged_broken__no_frame,g18,Gotzner et al. (2018),g18_010,damaged/broken,damaged,broken,damaged,broken,adj,default,"It is damaged, but not broken.",0.16,True,cross-scale/human_data/g18.csv,It is damaged.,damaged,broken,It is, broken, ,.,It is ___.,It is broken.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[10865],"[""Ġbroken""]",[-12.178825378417969],1,-12.1788253784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_031__template_default__damp_wet__no_frame,g18,Gotzner et al. (2018),g18_031,damp/wet,damp,wet,damp,wet,adj,default,"It is damp, but not wet.",0.3,True,cross-scale/human_data/g18.csv,It is damp.,damp,wet,It is, wet, ,.,It is ___.,It is wet.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[14401],"[""Ġwet""]",[-11.483512878417969],1,-11.4835128784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_040__template_default__dark_black__no_frame,g18,Gotzner et al. (2018),g18_040,dark/black,dark,black,dark,black,adj,default,"That is dark, but not black.",0.37,True,cross-scale/human_data/g18.csv,That is dark.,dark,black,That is, black, ,.,That is ___.,That is black.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[3691],"[""Ġblack""]",[-10.882871627807617],1,-10.8828716278,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_064__template_default__difficult_impossible__no_frame,g18,Gotzner et al. (2018),g18_064,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"It is difficult, but not impossible.",0.76,True,cross-scale/human_data/g18.csv,It is difficult.,difficult,impossible,It is, impossible, ,.,It is ___.,It is impossible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[11997],"[""Ġimpossible""]",[-5.983513355255127],1,-5.9835133553,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_007__template_default__dirty_filthy__no_frame,g18,Gotzner et al. (2018),g18_007,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"It is dirty, but not filthy.",0.14,True,cross-scale/human_data/g18.csv,It is dirty.,dirty,filthy,It is, filthy, ,.,It is ___.,It is filthy.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[77342],"[""Ġfilthy""]",[-15.764762878417969],1,-15.7647628784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_002__template_default__drunk_plastered__no_frame,g18,Gotzner et al. (2018),g18_002,drunk/plastered,drunk,plastered,drunk,plastered,adj,default,"He is drunk, but not plastered.",0.11,True,cross-scale/human_data/g18.csv,He is drunk.,drunk,plastered,He is, plastered, ,.,He is ___.,He is plastered.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[61927,291]","[""Ġplaster"",""ed""]","[-13.968547821044922,-1.4486687183380127]",2,-15.4172165394,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_018__template_default__dry_parched__no_frame,g18,Gotzner et al. (2018),g18_018,dry/parched,dry,parched,dry,parched,adj,default,"It is dry, but not parched.",0.22,True,cross-scale/human_data/g18.csv,It is dry.,dry,parched,It is, parched, ,.,It is ___.,It is parched.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[65202,291]","[""Ġparch"",""ed""]","[-16.43663787841797,-0.3164224326610565]",2,-16.7530603111,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_008__template_default__fat_obese__no_frame,g18,Gotzner et al. (2018),g18_008,fat/obese,fat,obese,fat,obese,adj,default,"He is fat, but not obese.",0.16,True,cross-scale/human_data/g18.csv,He is fat.,fat,obese,He is, obese, ,.,He is ___.,He is obese.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[49220],"[""Ġobese""]",[-10.999797821044922],1,-10.9997978210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_044__template_default__faulty_non-functional__no_frame,g18,Gotzner et al. (2018),g18_044,faulty/non-functional,faulty,non-functional,faulty,non-functional,adj,default,"It is faulty, but not non-functional.",0.39,True,cross-scale/human_data/g18.csv,It is faulty.,faulty,non-functional,It is, non-functional, ,.,It is ___.,It is non-functional.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[2477,98516]","[""Ġnon"",""-functional""]","[-10.764762878417969,-6.907322883605957]",2,-17.6720857620,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_026__template_default__funny_hilarious__no_frame,g18,Gotzner et al. (2018),g18_026,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"That is funny, but not hilarious.",0.27,True,cross-scale/human_data/g18.csv,That is funny.,funny,hilarious,That is, hilarious, ,.,That is ___.,That is hilarious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[40267],"[""Ġhilarious""]",[-9.105527877807617],1,-9.1055278778,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_059__template_default__good_excellent__no_frame,g18,Gotzner et al. (2018),g18_059,good/excellent,good,excellent,good,excellent,adj,default,"It is good, but not excellent.",0.65,True,cross-scale/human_data/g18.csv,It is good.,good,excellent,It is, excellent, ,.,It is ___.,It is excellent.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[9073],"[""Ġexcellent""]",[-10.639762878417969],1,-10.6397628784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_055__template_default__good_perfect__no_frame,g18,Gotzner et al. (2018),g18_055,good/perfect,good,perfect,good,perfect,adj,default,"It is good, but not perfect.",0.58,True,cross-scale/human_data/g18.csv,It is good.,good,perfect,It is, perfect, ,.,It is ___.,It is perfect.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[4727],"[""Ġperfect""]",[-10.342887878417969],1,-10.3428878784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_013__template_default__happy_delighted__no_frame,g18,Gotzner et al. (2018),g18_013,happy/delighted,happy,delighted,happy,delighted,adj,default,"He is happy, but not delighted.",0.19,True,cross-scale/human_data/g18.csv,He is happy.,happy,delighted,He is, delighted, ,.,He is ___.,He is delighted.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[33972],"[""Ġdelighted""]",[-8.312297821044922],1,-8.3122978210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_053__template_default__hard_unsolvable__no_frame,g18,Gotzner et al. (2018),g18_053,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"It is hard, but not unsolvable.",0.52,True,cross-scale/human_data/g18.csv,It is hard.,hard,unsolvable,It is, unsolvable, ,.,It is ___.,It is unsolvable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[6975,88097]","[""Ġuns"",""olvable""]","[-12.460075378417969,-5.791611671447754]",2,-18.2516870499,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_038__template_default__hot_scalding__no_frame,g18,Gotzner et al. (2018),g18_038,hot/scalding,hot,scalding,hot,scalding,adj,default,"It is hot, but not scalding.",0.35,True,cross-scale/human_data/g18.csv,It is hot.,hot,scalding,It is, scalding, ,.,It is ___.,It is scalding.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[1136,4747,287]","[""Ġsc"",""ald"",""ing""]","[-12.164154052734375,-4.5417985916137695,-0.22377696633338928]",3,-16.9297296107,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_041__template_default__hungry_starving__no_frame,g18,Gotzner et al. (2018),g18_041,hungry/starving,hungry,starving,hungry,starving,adj,default,"He is hungry, but not starving.",0.38,True,cross-scale/human_data/g18.csv,He is hungry.,hungry,starving,He is, starving, ,.,He is ___.,He is starving.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[77401],"[""Ġstarving""]",[-11.003704071044922],1,-11.0037040710,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
