experiment,condition,item_id,N,sum_response,response_rate
experiment_2,Estrong,12,39,37,0.9487179487
experiment_2,Estrong,13,42,37,0.8809523810
experiment_2,Estrong,14,39,14,0.3589743590
experiment_2,Estrong,15,42,30,0.7142857143
experiment_2,Estrong,16,39,19,0.4871794872
experiment_2,Estrong,17,42,32,0.7619047619
experiment_2,Estrong,18,39,24,0.6153846154
experiment_2,Estrong,19,42,24,0.5714285714
experiment_2,Estrong,20,39,17,0.4358974359
experiment_2,Estrong,21,42,14,0.3333333333
experiment_2,Estrong,22,39,18,0.4615384615
experiment_2,Estrong,23,42,30,0.7142857143
experiment_2,Estrong,24,39,24,0.6153846154
experiment_2,Estrong,25,42,35,0.8333333333
experiment_2,Estrong,26,39,38,0.9743589744
experiment_2,Estrong,27,42,15,0.3571428571
experiment_2,Estrong,28,39,37,0.9487179487
experiment_2,Estrong,29,42,20,0.4761904762
experiment_2,Estrong,30,39,15,0.3846153846
experiment_2,Estrong,31,42,30,0.7142857143
experiment_2,Estrong,32,39,31,0.7948717949
experiment_2,Estrong,33,42,41,0.9761904762
experiment_2,Estrong,34,39,30,0.7692307692
experiment_2,Estrong,35,42,14,0.3333333333
experiment_2,Estrong,36,39,33,0.8461538462
experiment_2,Estrong,37,42,13,0.3095238095
experiment_2,Estrong,38,39,33,0.8461538462
experiment_2,Estrong,39,42,27,0.6428571429
experiment_2,Estrong,40,39,33,0.8461538462
experiment_2,Estrong,41,42,11,0.2619047619
experiment_2,Estrong,42,39,20,0.5128205128
experiment_2,Estrong,43,42,38,0.9047619048
experiment_2,Estrong,44,39,36,0.9230769231
experiment_2,Estrong,45,42,9,0.2142857143
experiment_2,Estrong,46,39,2,0.0512820513
experiment_2,Estrong,47,42,36,0.8571428571
experiment_2,Estrong,48,39,30,0.7692307692
experiment_2,Estrong,49,42,29,0.6904761905
experiment_2,Estrong,50,39,11,0.2820512821
experiment_2,Estrong,51,42,34,0.8095238095
experiment_2,Estrong,52,39,36,0.9230769231
experiment_2,Estrong,53,42,6,0.1428571429
experiment_2,Estrong,54,39,23,0.5897435897
experiment_2,Estrong,55,42,7,0.1666666667
experiment_2,Estrong,56,39,33,0.8461538462
experiment_2,Estrong,57,42,25,0.5952380952
experiment_2,Estrong,58,39,28,0.7179487179
experiment_2,Estrong,59,42,23,0.5476190476
experiment_2,Estrong,60,39,22,0.5641025641
experiment_3,Eonly,1,40,25,0.6250000000
experiment_3,Eonly,2,40,20,0.5000000000
experiment_3,Eonly,3,40,25,0.6250000000
experiment_3,Eonly,4,40,29,0.7250000000
experiment_3,Eonly,5,40,23,0.5750000000
experiment_3,Eonly,6,40,29,0.7250000000
experiment_3,Eonly,7,40,26,0.6500000000
experiment_3,Eonly,8,40,20,0.5000000000
experiment_3,Eonly,9,40,38,0.9500000000
experiment_3,Eonly,10,40,17,0.4250000000
experiment_3,Eonly,11,40,22,0.5500000000
experiment_3,Eonly,12,40,34,0.8500000000
experiment_3,Eonly,13,40,35,0.8750000000
experiment_3,Eonly,14,40,19,0.4750000000
experiment_3,Eonly,15,40,34,0.8500000000
experiment_3,Eonly,16,40,25,0.6250000000
experiment_3,Eonly,17,40,32,0.8000000000
experiment_3,Eonly,18,40,30,0.7500000000
experiment_3,Eonly,19,40,35,0.8750000000
experiment_3,Eonly,20,40,20,0.5000000000
experiment_3,Eonly,21,40,17,0.4250000000
experiment_3,Eonly,22,40,24,0.6000000000
experiment_3,Eonly,23,40,32,0.8000000000
experiment_3,Eonly,24,40,13,0.3250000000
experiment_3,Eonly,25,40,34,0.8500000000
experiment_3,Eonly,26,40,38,0.9500000000
experiment_3,Eonly,27,40,19,0.4750000000
experiment_3,Eonly,28,40,35,0.8750000000
experiment_3,Eonly,29,40,19,0.4750000000
experiment_3,Eonly,30,40,24,0.6000000000
experiment_3,Eonly,31,40,29,0.7250000000
experiment_3,Eonly,32,40,37,0.9250000000
experiment_3,Eonly,33,40,40,1.0000000000
experiment_3,Eonly,34,40,23,0.5750000000
experiment_3,Eonly,35,40,24,0.6000000000
experiment_3,Eonly,36,40,29,0.7250000000
experiment_3,Eonly,37,40,25,0.6250000000
experiment_3,Eonly,38,40,33,0.8250000000
experiment_3,Eonly,39,40,31,0.7750000000
experiment_3,Eonly,40,40,36,0.9000000000
experiment_3,Eonly,41,40,27,0.6750000000
experiment_3,Eonly,42,40,15,0.3750000000
experiment_3,Eonly,43,40,37,0.9250000000
experiment_3,Eonly,44,40,35,0.8750000000
experiment_3,Eonly,45,40,19,0.4750000000
experiment_3,Eonly,46,40,19,0.4750000000
experiment_3,Eonly,47,40,36,0.9000000000
experiment_3,Eonly,48,40,29,0.7250000000
experiment_3,Eonly,49,40,30,0.7500000000
experiment_3,Eonly,50,40,22,0.5500000000
experiment_3,Eonly,51,40,32,0.8000000000
experiment_3,Eonly,52,40,33,0.8250000000
experiment_3,Eonly,53,40,16,0.4000000000
experiment_3,Eonly,54,40,27,0.6750000000
experiment_3,Eonly,55,40,24,0.6000000000
experiment_3,Eonly,56,40,29,0.7250000000
experiment_3,Eonly,57,40,19,0.4750000000
experiment_3,Eonly,58,40,33,0.8250000000
experiment_3,Eonly,59,40,33,0.8250000000
experiment_3,Eonly,60,40,27,0.6750000000
experiment_4,Eonlystrong,1,40,33,0.8250000000
experiment_4,Eonlystrong,2,40,34,0.8500000000
experiment_4,Eonlystrong,3,40,39,0.9750000000
experiment_4,Eonlystrong,4,40,28,0.7000000000
experiment_4,Eonlystrong,5,40,37,0.9250000000
experiment_4,Eonlystrong,6,40,37,0.9250000000
experiment_4,Eonlystrong,7,40,37,0.9250000000
experiment_4,Eonlystrong,8,40,33,0.8250000000
experiment_4,Eonlystrong,9,40,38,0.9500000000
experiment_4,Eonlystrong,10,40,34,0.8500000000
experiment_4,Eonlystrong,11,40,34,0.8500000000
experiment_4,Eonlystrong,12,40,39,0.9750000000
experiment_4,Eonlystrong,13,40,40,1.0000000000
experiment_4,Eonlystrong,14,40,35,0.8750000000
experiment_4,Eonlystrong,15,40,40,1.0000000000
experiment_4,Eonlystrong,16,40,35,0.8750000000
experiment_4,Eonlystrong,17,40,33,0.8250000000
experiment_4,Eonlystrong,18,40,35,0.8750000000
experiment_4,Eonlystrong,19,40,36,0.9000000000
experiment_4,Eonlystrong,20,40,35,0.8750000000
experiment_4,Eonlystrong,21,40,32,0.8000000000
experiment_4,Eonlystrong,22,40,37,0.9250000000
experiment_4,Eonlystrong,23,40,35,0.8750000000
experiment_4,Eonlystrong,24,40,37,0.9250000000
experiment_4,Eonlystrong,25,40,38,0.9500000000
experiment_4,Eonlystrong,26,40,37,0.9250000000
experiment_4,Eonlystrong,27,40,35,0.8750000000
experiment_4,Eonlystrong,28,40,39,0.9750000000
experiment_4,Eonlystrong,29,40,27,0.6750000000
experiment_4,Eonlystrong,30,40,37,0.9250000000
experiment_4,Eonlystrong,31,40,32,0.8000000000
experiment_4,Eonlystrong,32,40,36,0.9000000000
experiment_4,Eonlystrong,33,40,40,1.0000000000
experiment_4,Eonlystrong,34,40,35,0.8750000000
experiment_4,Eonlystrong,35,40,33,0.8250000000
experiment_4,Eonlystrong,36,40,35,0.8750000000
experiment_4,Eonlystrong,37,40,35,0.8750000000
experiment_4,Eonlystrong,38,40,39,0.9750000000
experiment_4,Eonlystrong,39,40,32,0.8000000000
experiment_4,Eonlystrong,40,40,39,0.9750000000
experiment_4,Eonlystrong,41,40,33,0.8250000000
experiment_4,Eonlystrong,42,40,32,0.8000000000
experiment_4,Eonlystrong,43,40,40,1.0000000000
experiment_4,Eonlystrong,44,40,40,1.0000000000
experiment_4,Eonlystrong,45,40,29,0.7250000000
experiment_4,Eonlystrong,46,40,29,0.7250000000
experiment_4,Eonlystrong,47,40,39,0.9750000000
experiment_4,Eonlystrong,48,40,38,0.9500000000
experiment_4,Eonlystrong,49,40,39,0.9750000000
experiment_4,Eonlystrong,50,40,31,0.7750000000
experiment_4,Eonlystrong,51,40,40,1.0000000000
experiment_4,Eonlystrong,52,40,37,0.9250000000
experiment_4,Eonlystrong,53,40,31,0.7750000000
experiment_4,Eonlystrong,54,40,35,0.8750000000
experiment_4,Eonlystrong,55,40,33,0.8250000000
experiment_4,Eonlystrong,56,40,34,0.8500000000
experiment_4,Eonlystrong,57,40,34,0.8500000000
experiment_4,Eonlystrong,58,40,40,1.0000000000
experiment_4,Eonlystrong,59,40,36,0.9000000000
experiment_4,Eonlystrong,60,40,35,0.8750000000
