item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,question_target_type,question_target_surface_guess,answer_sentence_guess,answer_prompt_prefix_guess,answer_target_word_seen_by_participants,answer_suffix_after_target,question_source_statement_guess,question_sentence_guess,question_auxiliary,question_generation_method,prompt_prefix_for_qwen,prompt_with_blank,dialogue_with_stronger_answer_guess,reconstruction_note,needs_manual_review
6,Eweak,Weak QUD,cool,cool,cold,cold,weaker,cool,The weather is cool.,The weather is ,cool,.,The weather is cool.,Is the weather cool?,is,aux_inversion,"Sue: Is the weather cool?
Mary: The weather is ","Sue: Is the weather cool?
Mary: The weather is ___.","Sue: Is the weather cool?
Mary: The weather is cold.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
6,Estrong,Strong QUD,cool,cool,cold,cold,stronger,cold,The weather is cool.,The weather is ,cool,.,The weather is cold.,Is the weather cold?,is,aux_inversion,"Sue: Is the weather cold?
Mary: The weather is ","Sue: Is the weather cold?
Mary: The weather is ___.","Sue: Is the weather cold?
Mary: The weather is cold.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
7,Eweak,Weak QUD,damage,damage,destroy,destroy,weaker,damage,The machine might damage itself.,The machine might ,damage, itself.,The machine might damage itself.,Might the machine damage itself?,might,aux_inversion,"Sue: Might the machine damage itself?
Mary: The machine might ","Sue: Might the machine damage itself?
Mary: The machine might ___ itself.","Sue: Might the machine damage itself?
Mary: The machine might destroy itself.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
7,Estrong,Strong QUD,damage,damage,destroy,destroy,stronger,destroy,The machine might damage itself.,The machine might ,damage, itself.,The machine might destroy itself.,Might the machine destroy itself?,might,aux_inversion,"Sue: Might the machine destroy itself?
Mary: The machine might ","Sue: Might the machine destroy itself?
Mary: The machine might ___ itself.","Sue: Might the machine destroy itself?
Mary: The machine might destroy itself.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
8,Eweak,Weak QUD,dark,dark,black,black,weaker,dark,The sky is dark.,The sky is ,dark,.,The sky is dark.,Is the sky dark?,is,aux_inversion,"Sue: Is the sky dark?
Mary: The sky is ","Sue: Is the sky dark?
Mary: The sky is ___.","Sue: Is the sky dark?
Mary: The sky is black.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
8,Estrong,Strong QUD,dark,dark,black,black,stronger,black,The sky is dark.,The sky is ,dark,.,The sky is black.,Is the sky black?,is,aux_inversion,"Sue: Is the sky black?
Mary: The sky is ","Sue: Is the sky black?
Mary: The sky is ___.","Sue: Is the sky black?
Mary: The sky is black.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
9,Eweak,Weak QUD,difficult,difficult,impossible,impossible,weaker,difficult,The task is difficult.,The task is ,difficult,.,The task is difficult.,Is the task difficult?,is,aux_inversion,"Sue: Is the task difficult?
Mary: The task is ","Sue: Is the task difficult?
Mary: The task is ___.","Sue: Is the task difficult?
Mary: The task is impossible.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
9,Estrong,Strong QUD,difficult,difficult,impossible,impossible,stronger,impossible,The task is difficult.,The task is ,difficult,.,The task is impossible.,Is the task impossible?,is,aux_inversion,"Sue: Is the task impossible?
Mary: The task is ","Sue: Is the task impossible?
Mary: The task is ___.","Sue: Is the task impossible?
Mary: The task is impossible.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
10,Eweak,Weak QUD,dirty,dirty,filthy,filthy,weaker,dirty,Zack's carpet was dirty.,Zack's carpet was ,dirty,.,Zack's carpet was dirty.,Was Zack's carpet dirty?,was,aux_inversion,"Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was ","Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was ___.","Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was filthy.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
10,Estrong,Strong QUD,dirty,dirty,filthy,filthy,stronger,filthy,Zack's carpet was dirty.,Zack's carpet was ,dirty,.,Zack's carpet was filthy.,Was Zack's carpet filthy?,was,aux_inversion,"Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was ","Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was ___.","Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was filthy.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
11,Eweak,Weak QUD,dislike,dislikes,loathe,loathes,weaker,dislikes,The doctor dislikes coffee.,The doctor ,dislikes, coffee.,The doctor dislikes coffee.,Does the doctor dislike coffee?,does,do_support,"Sue: Does the doctor dislike coffee?
Mary: The doctor ","Sue: Does the doctor dislike coffee?
Mary: The doctor ___ coffee.","Sue: Does the doctor dislike coffee?
Mary: The doctor loathes coffee.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
11,Estrong,Strong QUD,dislike,dislikes,loathe,loathes,stronger,loathes,The doctor dislikes coffee.,The doctor ,dislikes, coffee.,The doctor loathes coffee.,Does the doctor loathe coffee?,does,do_support,"Sue: Does the doctor loathe coffee?
Mary: The doctor ","Sue: Does the doctor loathe coffee?
Mary: The doctor ___ coffee.","Sue: Does the doctor loathe coffee?
Mary: The doctor loathes coffee.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
12,Eweak,Weak QUD,double,double,triple,triple,weaker,double,The sales will double.,The sales will ,double,.,The sales will double.,Will the sales double?,will,aux_inversion,"Sue: Will the sales double?
Mary: The sales will ","Sue: Will the sales double?
Mary: The sales will ___.","Sue: Will the sales double?
Mary: The sales will triple.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
12,Estrong,Strong QUD,double,double,triple,triple,stronger,triple,The sales will double.,The sales will ,double,.,The sales will triple.,Will the sales triple?,will,aux_inversion,"Sue: Will the sales triple?
Mary: The sales will ","Sue: Will the sales triple?
Mary: The sales will ___.","Sue: Will the sales triple?
Mary: The sales will triple.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
13,Eweak,Weak QUD,equally,equally,more,more,weaker,equally,That candidate is equally skilled.,That candidate is ,equally, skilled.,That candidate is equally skilled.,Is that candidate equally skilled?,is,aux_inversion,"Sue: Is that candidate equally skilled?
Mary: That candidate is ","Sue: Is that candidate equally skilled?
Mary: That candidate is ___ skilled.","Sue: Is that candidate equally skilled?
Mary: That candidate is more skilled.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
13,Estrong,Strong QUD,equally,equally,more,more,stronger,more,That candidate is equally skilled.,That candidate is ,equally, skilled.,That candidate is more skilled.,Is that candidate more skilled?,is,aux_inversion,"Sue: Is that candidate more skilled?
Mary: That candidate is ","Sue: Is that candidate more skilled?
Mary: That candidate is ___ skilled.","Sue: Is that candidate more skilled?
Mary: That candidate is more skilled.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
14,Eweak,Weak QUD,funny,funny,hilarious,hilarious,weaker,funny,The movie is funny.,The movie is ,funny,.,The movie is funny.,Is the movie funny?,is,aux_inversion,"Sue: Is the movie funny?
Mary: The movie is ","Sue: Is the movie funny?
Mary: The movie is ___.","Sue: Is the movie funny?
Mary: The movie is hilarious.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
14,Estrong,Strong QUD,funny,funny,hilarious,hilarious,stronger,hilarious,The movie is funny.,The movie is ,funny,.,The movie is hilarious.,Is the movie hilarious?,is,aux_inversion,"Sue: Is the movie hilarious?
Mary: The movie is ","Sue: Is the movie hilarious?
Mary: The movie is ___.","Sue: Is the movie hilarious?
Mary: The movie is hilarious.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
15,Eweak,Weak QUD,good,good,excellent,excellent,weaker,good,The movie is good.,The movie is ,good,.,The movie is good.,Is the movie good?,is,aux_inversion,"Sue: Is the movie good?
Mary: The movie is ","Sue: Is the movie good?
Mary: The movie is ___.","Sue: Is the movie good?
Mary: The movie is excellent.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
15,Estrong,Strong QUD,good,good,excellent,excellent,stronger,excellent,The movie is good.,The movie is ,good,.,The movie is excellent.,Is the movie excellent?,is,aux_inversion,"Sue: Is the movie excellent?
Mary: The movie is ","Sue: Is the movie excellent?
Mary: The movie is ___.","Sue: Is the movie excellent?
Mary: The movie is excellent.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
16,Eweak,Weak QUD,happy,happy,ecstatic,ecstatic,weaker,happy,The winner was happy.,The winner was ,happy,.,The winner was happy.,Was the winner happy?,was,aux_inversion,"Sue: Was the winner happy?
Mary: The winner was ","Sue: Was the winner happy?
Mary: The winner was ___.","Sue: Was the winner happy?
Mary: The winner was ecstatic.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
16,Estrong,Strong QUD,happy,happy,ecstatic,ecstatic,stronger,ecstatic,The winner was happy.,The winner was ,happy,.,The winner was ecstatic.,Was the winner ecstatic?,was,aux_inversion,"Sue: Was the winner ecstatic?
Mary: The winner was ","Sue: Was the winner ecstatic?
Mary: The winner was ___.","Sue: Was the winner ecstatic?
Mary: The winner was ecstatic.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
17,Eweak,Weak QUD,hard,hard,unsolvable,unsolvable,weaker,hard,The problem is hard.,The problem is ,hard,.,The problem is hard.,Is the problem hard?,is,aux_inversion,"Sue: Is the problem hard?
Mary: The problem is ","Sue: Is the problem hard?
Mary: The problem is ___.","Sue: Is the problem hard?
Mary: The problem is unsolvable.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
17,Estrong,Strong QUD,hard,hard,unsolvable,unsolvable,stronger,unsolvable,The problem is hard.,The problem is ,hard,.,The problem is unsolvable.,Is the problem unsolvable?,is,aux_inversion,"Sue: Is the problem unsolvable?
Mary: The problem is ","Sue: Is the problem unsolvable?
Mary: The problem is ___.","Sue: Is the problem unsolvable?
Mary: The problem is unsolvable.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
18,Eweak,Weak QUD,harmful,harmful,deadly,deadly,weaker,harmful,The toxin is harmful.,The toxin is ,harmful,.,The toxin is harmful.,Is the toxin harmful?,is,aux_inversion,"Sue: Is the toxin harmful?
Mary: The toxin is ","Sue: Is the toxin harmful?
Mary: The toxin is ___.","Sue: Is the toxin harmful?
Mary: The toxin is deadly.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
18,Estrong,Strong QUD,harmful,harmful,deadly,deadly,stronger,deadly,The toxin is harmful.,The toxin is ,harmful,.,The toxin is deadly.,Is the toxin deadly?,is,aux_inversion,"Sue: Is the toxin deadly?
Mary: The toxin is ","Sue: Is the toxin deadly?
Mary: The toxin is ___.","Sue: Is the toxin deadly?
Mary: The toxin is deadly.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
19,Eweak,Weak QUD,here,here,everywhere,everywhere,weaker,here,There is water here.,There is water ,here,.,There is water here.,Is there water here?,is,aux_inversion,"Sue: Is there water here?
Mary: There is water ","Sue: Is there water here?
Mary: There is water ___.","Sue: Is there water here?
Mary: There is water everywhere.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
19,Estrong,Strong QUD,here,here,everywhere,everywhere,stronger,everywhere,There is water here.,There is water ,here,.,There is water everywhere.,Is there water everywhere?,is,aux_inversion,"Sue: Is there water everywhere?
Mary: There is water ","Sue: Is there water everywhere?
Mary: There is water ___.","Sue: Is there water everywhere?
Mary: There is water everywhere.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
20,Eweak,Weak QUD,hungry,hungry,starving,starving,weaker,hungry,The boy is hungry.,The boy is ,hungry,.,The boy is hungry.,Is the boy hungry?,is,aux_inversion,"Sue: Is the boy hungry?
Mary: The boy is ","Sue: Is the boy hungry?
Mary: The boy is ___.","Sue: Is the boy hungry?
Mary: The boy is starving.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
20,Estrong,Strong QUD,hungry,hungry,starving,starving,stronger,starving,The boy is hungry.,The boy is ,hungry,.,The boy is starving.,Is the boy starving?,is,aux_inversion,"Sue: Is the boy starving?
Mary: The boy is ","Sue: Is the boy starving?
Mary: The boy is ___.","Sue: Is the boy starving?
Mary: The boy is starving.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
21,Eweak,Weak QUD,intelligent,intelligent,brilliant,brilliant,weaker,intelligent,The student is intelligent.,The student is ,intelligent,.,The student is intelligent.,Is the student intelligent?,is,aux_inversion,"Sue: Is the student intelligent?
Mary: The student is ","Sue: Is the student intelligent?
Mary: The student is ___.","Sue: Is the student intelligent?
Mary: The student is brilliant.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
21,Estrong,Strong QUD,intelligent,intelligent,brilliant,brilliant,stronger,brilliant,The student is intelligent.,The student is ,intelligent,.,The student is brilliant.,Is the student brilliant?,is,aux_inversion,"Sue: Is the student brilliant?
Mary: The student is ","Sue: Is the student brilliant?
Mary: The student is ___.","Sue: Is the student brilliant?
Mary: The student is brilliant.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
22,Eweak,Weak QUD,intimidating,intimidating,terrifying,terrifying,weaker,intimidating,Chris's opponent was intimidating.,Chris's opponent was ,intimidating,.,Chris's opponent was intimidating.,Was Chris's opponent intimidating?,was,aux_inversion,"Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was ","Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was ___.","Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was terrifying.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
22,Estrong,Strong QUD,intimidating,intimidating,terrifying,terrifying,stronger,terrifying,Chris's opponent was intimidating.,Chris's opponent was ,intimidating,.,Chris's opponent was terrifying.,Was Chris's opponent terrifying?,was,aux_inversion,"Sue: Was Chris's opponent terrifying?
Mary: Chris's opponent was ","Sue: Was Chris's opponent terrifying?
Mary: Chris's opponent was ___.","Sue: Was Chris's opponent terrifying?
Mary: Chris's opponent was terrifying.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
23,Eweak,Weak QUD,largely,largely,totally,totally,weaker,largely,The coast was largely flooded.,The coast was ,largely, flooded.,The coast was largely flooded.,Was the coast largely flooded?,was,aux_inversion,"Sue: Was the coast largely flooded?
Mary: The coast was ","Sue: Was the coast largely flooded?
Mary: The coast was ___ flooded.","Sue: Was the coast largely flooded?
Mary: The coast was totally flooded.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
23,Estrong,Strong QUD,largely,largely,totally,totally,stronger,totally,The coast was largely flooded.,The coast was ,largely, flooded.,The coast was totally flooded.,Was the coast totally flooded?,was,aux_inversion,"Sue: Was the coast totally flooded?
Mary: The coast was ","Sue: Was the coast totally flooded?
Mary: The coast was ___ flooded.","Sue: Was the coast totally flooded?
Mary: The coast was totally flooded.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
24,Eweak,Weak QUD,like,likes,love,loves,weaker,likes,The princess likes dancing.,The princess ,likes, dancing.,The princess likes dancing.,Does the princess like dancing?,does,do_support,"Sue: Does the princess like dancing?
Mary: The princess ","Sue: Does the princess like dancing?
Mary: The princess ___ dancing.","Sue: Does the princess like dancing?
Mary: The princess loves dancing.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
24,Estrong,Strong QUD,like,likes,love,loves,stronger,loves,The princess likes dancing.,The princess ,likes, dancing.,The princess loves dancing.,Does the princess love dancing?,does,do_support,"Sue: Does the princess love dancing?
Mary: The princess ","Sue: Does the princess love dancing?
Mary: The princess ___ dancing.","Sue: Does the princess love dancing?
Mary: The princess loves dancing.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
25,Eweak,Weak QUD,match,matches,exceed,exceeds,weaker,matches,Bill's score matches Al's.,Bill's score ,matches, Al's.,Bill's score matches Al's.,Does Bill's score match Al's?,does,do_support,"Sue: Does Bill's score match Al's?
Mary: Bill's score ","Sue: Does Bill's score match Al's?
Mary: Bill's score ___ Al's.","Sue: Does Bill's score match Al's?
Mary: Bill's score exceeds Al's.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
25,Estrong,Strong QUD,match,matches,exceed,exceeds,stronger,exceeds,Bill's score matches Al's.,Bill's score ,matches, Al's.,Bill's score exceeds Al's.,Does Bill's score exceed Al's?,does,do_support,"Sue: Does Bill's score exceed Al's?
Mary: Bill's score ","Sue: Does Bill's score exceed Al's?
Mary: Bill's score ___ Al's.","Sue: Does Bill's score exceed Al's?
Mary: Bill's score exceeds Al's.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
26,Eweak,Weak QUD,mostly,mostly,entirely,entirely,weaker,mostly,Peter's answers were mostly wrong.,Peter's answers were ,mostly, wrong.,Peter's answers were mostly wrong.,Were Peter's answers mostly wrong?,were,aux_inversion,"Sue: Were Peter's answers mostly wrong?
Mary: Peter's answers were ","Sue: Were Peter's answers mostly wrong?
Mary: Peter's answers were ___ wrong.","Sue: Were Peter's answers mostly wrong?
Mary: Peter's answers were entirely wrong.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
26,Estrong,Strong QUD,mostly,mostly,entirely,entirely,stronger,entirely,Peter's answers were mostly wrong.,Peter's answers were ,mostly, wrong.,Peter's answers were entirely wrong.,Were Peter's answers entirely wrong?,were,aux_inversion,"Sue: Were Peter's answers entirely wrong?
Mary: Peter's answers were ","Sue: Were Peter's answers entirely wrong?
Mary: Peter's answers were ___ wrong.","Sue: Were Peter's answers entirely wrong?
Mary: Peter's answers were entirely wrong.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
27,Eweak,Weak QUD,old,old,ancient,ancient,weaker,old,The house is old.,The house is ,old,.,The house is old.,Is the house old?,is,aux_inversion,"Sue: Is the house old?
Mary: The house is ","Sue: Is the house old?
Mary: The house is ___.","Sue: Is the house old?
Mary: The house is ancient.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
27,Estrong,Strong QUD,old,old,ancient,ancient,stronger,ancient,The house is old.,The house is ,old,.,The house is ancient.,Is the house ancient?,is,aux_inversion,"Sue: Is the house ancient?
Mary: The house is ","Sue: Is the house ancient?
Mary: The house is ___.","Sue: Is the house ancient?
Mary: The house is ancient.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
28,Eweak,Weak QUD,once,once,twice,twice,weaker,once,Mistakes happened once.,Mistakes happened ,once,.,Mistakes happened once.,Did mistakes happen once?,did,do_support,"Sue: Did mistakes happen once?
Mary: Mistakes happened ","Sue: Did mistakes happen once?
Mary: Mistakes happened ___.","Sue: Did mistakes happen once?
Mary: Mistakes happened twice.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
28,Estrong,Strong QUD,once,once,twice,twice,stronger,twice,Mistakes happened once.,Mistakes happened ,once,.,Mistakes happened twice.,Did mistakes happen twice?,did,do_support,"Sue: Did mistakes happen twice?
Mary: Mistakes happened ","Sue: Did mistakes happen twice?
Mary: Mistakes happened ___.","Sue: Did mistakes happen twice?
Mary: Mistakes happened twice.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
29,Eweak,Weak QUD,or,or,and,and,weaker,or,Jimmy writes books or plays.,Jimmy writes books ,or, plays.,Jimmy writes books or plays.,Does Jimmy write books or plays?,does,do_support,"Sue: Does Jimmy write books or plays?
Mary: Jimmy writes books ","Sue: Does Jimmy write books or plays?
Mary: Jimmy writes books ___ plays.","Sue: Does Jimmy write books or plays?
Mary: Jimmy writes books and plays.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
29,Estrong,Strong QUD,or,or,and,and,stronger,and,Jimmy writes books or plays.,Jimmy writes books ,or, plays.,Jimmy writes books and plays.,Does Jimmy write books and plays?,does,do_support,"Sue: Does Jimmy write books and plays?
Mary: Jimmy writes books ","Sue: Does Jimmy write books and plays?
Mary: Jimmy writes books ___ plays.","Sue: Does Jimmy write books and plays?
Mary: Jimmy writes books and plays.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
30,Eweak,Weak QUD,overweight,overweight,obese,obese,weaker,overweight,The teenager is overweight.,The teenager is ,overweight,.,The teenager is overweight.,Is the teenager overweight?,is,aux_inversion,"Sue: Is the teenager overweight?
Mary: The teenager is ","Sue: Is the teenager overweight?
Mary: The teenager is ___.","Sue: Is the teenager overweight?
Mary: The teenager is obese.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
30,Estrong,Strong QUD,overweight,overweight,obese,obese,stronger,obese,The teenager is overweight.,The teenager is ,overweight,.,The teenager is obese.,Is the teenager obese?,is,aux_inversion,"Sue: Is the teenager obese?
Mary: The teenager is ","Sue: Is the teenager obese?
Mary: The teenager is ___.","Sue: Is the teenager obese?
Mary: The teenager is obese.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
31,Eweak,Weak QUD,overwhelmingly,overwhelmingly,unanimously,unanimously,weaker,overwhelmingly,The measure was supported overwhelmingly.,The measure was supported ,overwhelmingly,.,The measure was supported overwhelmingly.,Was the measure supported overwhelmingly?,was,aux_inversion,"Sue: Was the measure supported overwhelmingly?
Mary: The measure was supported ","Sue: Was the measure supported overwhelmingly?
Mary: The measure was supported ___.","Sue: Was the measure supported overwhelmingly?
Mary: The measure was supported unanimously.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
31,Estrong,Strong QUD,overwhelmingly,overwhelmingly,unanimously,unanimously,stronger,unanimously,The measure was supported overwhelmingly.,The measure was supported ,overwhelmingly,.,The measure was supported unanimously.,Was the measure supported unanimously?,was,aux_inversion,"Sue: Was the measure supported unanimously?
Mary: The measure was supported ","Sue: Was the measure supported unanimously?
Mary: The measure was supported ___.","Sue: Was the measure supported unanimously?
Mary: The measure was supported unanimously.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
