dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,human_si_rate_original,human_si_rate_source_column,source_file,has_hu_test_suite,notes
g18,Gotzner et al. (2018),g18_025,clean/spotless,clean,spotless,clean,spotless,adj,default,"It is clean, but not spotless.",0.27,0.27,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_054,cleanish/clean,cleanish,clean,cleanish,clean,adj,default,"It is cleanish, but not clean.",0.55,0.55,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_051,cold/freezing,cold,freezing,cold,freezing,adj,default,"It is cold, but not freezing.",0.49,0.49,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_020,content/happy,content,happy,content,happy,adj,default,"He is content, but not happy.",0.22,0.22,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_045,cool/cold,cool,cold,cool,cold,adj,default,"It is cool, but not cold.",0.43,0.43,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_010,damaged/broken,damaged,broken,damaged,broken,adj,default,"It is damaged, but not broken.",0.16,0.16,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_031,damp/wet,damp,wet,damp,wet,adj,default,"It is damp, but not wet.",0.3,0.3,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_040,dark/black,dark,black,dark,black,adj,default,"That is dark, but not black.",0.37,0.37,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_064,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"It is difficult, but not impossible.",0.76,0.76,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_007,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"It is dirty, but not filthy.",0.14,0.14,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_002,drunk/plastered,drunk,plastered,drunk,plastered,adj,default,"He is drunk, but not plastered.",0.11,0.11,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_018,dry/parched,dry,parched,dry,parched,adj,default,"It is dry, but not parched.",0.22,0.22,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_008,fat/obese,fat,obese,fat,obese,adj,default,"He is fat, but not obese.",0.16,0.16,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_044,faulty/non-functional,faulty,non-functional,faulty,non-functional,adj,default,"It is faulty, but not non-functional.",0.39,0.39,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_026,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"That is funny, but not hilarious.",0.27,0.27,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_059,good/excellent,good,excellent,good,excellent,adj,default,"It is good, but not excellent.",0.65,0.65,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_055,good/perfect,good,perfect,good,perfect,adj,default,"It is good, but not perfect.",0.58,0.58,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_013,happy/delighted,happy,delighted,happy,delighted,adj,default,"He is happy, but not delighted.",0.19,0.19,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_053,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"It is hard, but not unsolvable.",0.52,0.52,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_038,hot/scalding,hot,scalding,hot,scalding,adj,default,"It is hot, but not scalding.",0.35,0.35,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_041,hungry/starving,hungry,starving,hungry,starving,adj,default,"He is hungry, but not starving.",0.38,0.38,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_014,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,default,"He is intelligent, but not brilliant.",0.19,0.19,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_019,large/gigantic,large,gigantic,large,gigantic,adj,default,"It is large, but not gigantic.",0.22,0.22,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_027,light/white,light,white,light,white,adj,default,"That is light, but not white.",0.27,0.27,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_068,likely/certain,likely,certain,likely,certain,adj,default,"It is likely, but not certain.",0.79,0.79,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_037,loud/defeaning,loud,defeaning,loud,defeaning,adj,default,"It is loud, but not defeaning.",0.34,0.34,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_069,low/depleted,low,depleted,low,depleted,adj,default,"It is low, but not depleted.",0.81,0.81,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_060,mediocre/bad,mediocre,bad,mediocre,bad,adj,default,"It is mediocre, but not bad.",0.7,0.7,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_039,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,default,"It is memorable, but not unforgettable.",0.37,0.37,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_033,old/ancient,old,ancient,old,ancient,adj,default,"That is old, but not ancient.",0.32,0.32,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_050,palatable/delicious,palatable,delicious,palatable,delicious,adj,default,"It is palatable, but not delicious.",0.47,0.47,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_032,poor/destitute,poor,destitute,poor,destitute,adj,default,"She is poor, but not destitute.",0.31,0.31,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_056,possible/certain,possible,certain,possible,certain,adj,default,"It is possible, but not certain.",0.58,0.58,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_015,pretty/gorgeous,pretty,gorgeous,pretty,gorgeous,adj,default,"She is pretty, but not gorgeous.",0.19,0.19,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_058,quiet/inaudible,quiet,inaudible,quiet,inaudible,adj,default,"It is quiet, but not inaudible.",0.63,0.63,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_028,rainy/pouring,rainy,pouring,rainy,pouring,adj,default,"It is rainy, but not pouring.",0.29,0.29,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_063,rare/extinct,rare,extinct,rare,extinct,adj,default,"It is rare, but not extinct.",0.74,0.74,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_067,satifisfactory/impeccable,satifisfactory,impeccable,satifisfactory,impeccable,adj,default,"It is satifisfactory, but not impeccable.",0.79,0.79,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_066,scarce/unavailable,scarce,unavailable,scarce,unavailable,adj,default,"It is scarce, but not unavailable.",0.76,0.76,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_034,scared/petrified,scared,petrified,scared,petrified,adj,default,"She is scared, but not petrified.",0.32,0.32,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_047,sick/terminally ill,sick,terminally ill,sick,terminally ill,adj,default,"She is sick, but not terminally ill.",0.45,0.45,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_024,sickish/sick,sickish,sick,sickish,sick,adj,default,"He is sickish, but not sick.",0.25,0.25,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_035,silly/idiotic,silly,idiotic,silly,idiotic,adj,default,"That is silly, but not idiotic.",0.32,0.32,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_043,silly/ridiculous,silly,ridiculous,silly,ridiculous,adj,default,"It is silly, but not ridiculous.",0.39,0.39,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_070,sleepy/asleep,sleepy,asleep,sleepy,asleep,adj,default,"He is sleepy, but not asleep.",0.81,0.81,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_021,small/tiny,small,tiny,small,tiny,adj,default,"It is small, but not tiny.",0.24,0.24,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_012,snug/tight,snug,tight,snug,tight,adj,default,"It is snug, but not tight.",0.18,0.18,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_011,special/unique,special,unique,special,unique,adj,default,"It is special, but not unique.",0.17,0.17,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_009,tasty/delicious,tasty,delicious,tasty,delicious,adj,default,"That is tasty, but not delicious.",0.16,0.16,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_003,thin/skinny,thin,skinny,thin,skinny,adj,default,"She is thin, but not skinny.",0.11,0.11,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_042,tipsy/drunk,tipsy,drunk,tipsy,drunk,adj,default,"She is tipsy, but not drunk.",0.38,0.38,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_030,tired/exhausted,tired,exhausted,tired,exhausted,adj,default,"He is tired, but not exhausted.",0.3,0.3,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_004,transparent/crystal clear,transparent,crystal clear,transparent,crystal clear,adj,default,"It is transparent, but not crystal clear.",0.11,0.11,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_016,ugly/hideous,ugly,hideous,ugly,hideous,adj,default,"He is ugly, but not hideous.",0.21,0.21,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_029,unhappy/miserable,unhappy,miserable,unhappy,miserable,adj,default,"She is unhappy, but not miserable.",0.29,0.29,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_017,unkind/nasty,unkind,nasty,unkind,nasty,adj,default,"He is unkind, but not nasty.",0.21,0.21,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_057,unsettling/horrific,unsettling,horrific,unsettling,horrific,adj,default,"It is unsettling, but not horrific.",0.62,0.62,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_061,warm/hot,warm,hot,warm,hot,adj,default,"It is warm, but not hot.",0.7,0.7,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_048,wary/scared,wary,scared,wary,scared,adj,default,"He is wary, but not scared.",0.45,0.45,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_022,wet/soaked,wet,soaked,wet,soaked,adj,default,"It is wet, but not soaked.",0.24,0.24,si_rate,cross-scale/human_data/g18.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_001,amazing/miraculous,amazing,miraculous,amazing,miraculous,adj,default,"His achievement was amazing, but not miraculous.",0.363636364,0.363636364,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_002,angry/violent,angry,violent,angry,violent,adj,default,"The character was angry, but not violent.",0.176470588,0.176470588,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_003,big/huge,big,huge,big,huge,adj,default,"The building was big, but not huge.",0.210526316,0.210526316,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_004,bizarre/surreal,bizarre,surreal,bizarre,surreal,adj,default,"The movie was bizarre, but not surreal.",0.260869565,0.260869565,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_005,bright/brilliant,bright,brilliant,bright,brilliant,adj,default,"The student was bright, but not brilliant.",0.125,0.125,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_006,busy/full,busy,full,busy,full,adj,default,"The restaurant was busy, but not full.",0.2,0.2,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_007,calm/meditative,calm,meditative,calm,meditative,adj,default,"The music was calm, but not meditative.",0.057142857,0.057142857,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_008,casual/sloppy,casual,sloppy,casual,sloppy,adj,default,"His style was casual, but not sloppy.",0.517241379,0.517241379,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_009,cold/frosty,cold,frosty,cold,frosty,adj,default,"His tone was cold, but not frosty.",0.235294118,0.235294118,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_010,comfortable/luxurious,comfortable,luxurious,comfortable,luxurious,adj,default,"The accommodations were comfortable, but not luxurious.",0.5,0.5,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_011,cool/cold,cool,cold,cool,cold,adj,default,"The nights were cool, but not cold.",0.357142857,0.357142857,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_012,cute/beautiful,cute,beautiful,cute,beautiful,adj,default,"His girlfriend was cute, but not beautiful.",0.135135135,0.135135135,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_013,damp/wet,damp,wet,damp,wet,adj,default,"The sand was damp, but not wet.",0.111111111,0.111111111,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_014,dark/black,dark,black,dark,black,adj,default,"The sky was dark, but not black.",0.227272727,0.227272727,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_015,decent/great,decent,great,decent,great,adj,default,"His haircut was decent, but not great.",0.5,0.5,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_016,dry/arid,dry,arid,dry,arid,adj,default,"The climate was dry, but not arid.",0.137254902,0.137254902,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_017,elegant/ostentatious,elegant,ostentatious,elegant,ostentatious,adj,default,"The decor was elegant, but not ostentatious.",0.552631579,0.552631579,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_018,emotional/sentimental,emotional,sentimental,emotional,sentimental,adj,default,"The film was emotional, but not sentimental.",0.058823529,0.058823529,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_019,enjoyable/great,enjoyable,great,enjoyable,great,adj,default,"The novel was enjoyable, but not great.",0.135135135,0.135135135,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_020,evil/satanic,evil,satanic,evil,satanic,adj,default,"The cult was evil, but not satanic.",0.25,0.25,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_021,fat/obese,fat,obese,fat,obese,adj,default,"The man was fat, but not obese.",0.107142857,0.107142857,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_022,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"His response was funny, but not hilarious.",0.229166667,0.229166667,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_023,grey/black,grey,black,grey,black,adj,default,"The fabric was grey, but not black.",0.934782609,0.934782609,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_024,happy/ecstatic,happy,ecstatic,happy,ecstatic,adj,default,"The crowd was happy, but not ecstatic.",0.243243243,0.243243243,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_025,honest/blunt,honest,blunt,honest,blunt,adj,default,"The woman was honest, but not blunt.",0.191489362,0.191489362,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_026,hot/boiling,hot,boiling,hot,boiling,adj,default,"The water was hot, but not boiling.",0.553191489,0.553191489,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_027,mysterious/magical,mysterious,magical,mysterious,magical,adj,default,"The results were mysterious, but not magical.",0.511111111,0.511111111,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_028,nice/great,nice,great,nice,great,adj,default,"The graphics were nice, but not great.",0.205128205,0.205128205,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_029,odd/bizarre,odd,bizarre,odd,bizarre,adj,default,"His idea was odd, but not bizarre.",0.2,0.2,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_030,okay/great,okay,great,okay,great,adj,default,"The melody was okay, but not great.",0.717948718,0.717948718,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_031,painful/deadly,painful,deadly,painful,deadly,adj,default,"The sting was painful, but not deadly.",0.76744186,0.76744186,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_032,pale/white,pale,white,pale,white,adj,default,"The paint was pale, but not white.",0.486486486,0.486486486,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_033,polite/friendly,polite,friendly,polite,friendly,adj,default,"The staff were polite, but not friendly.",0.166666667,0.166666667,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_034,pretty/beautiful,pretty,beautiful,pretty,beautiful,adj,default,"The village was pretty, but not beautiful.",0.097560976,0.097560976,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_035,quiet/silent,quiet,silent,quiet,silent,adj,default,"The boy was quiet, but not silent.",0.378378378,0.378378378,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_036,red/scarlet,red,scarlet,red,scarlet,adj,default,"His coat was red, but not scarlet.",0.23255814,0.23255814,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_037,rough/unfriendly,rough,unfriendly,rough,unfriendly,adj,default,"The service was rough, but not unfriendly.",0.5,0.5,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_038,sad/tragic,sad,tragic,sad,tragic,adj,default,"His story was sad, but not tragic.",0.261904762,0.261904762,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_039,smart/brilliant,smart,brilliant,smart,brilliant,adj,default,"The writer was smart, but not brilliant.",0.068965517,0.068965517,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_040,soft/mushy,soft,mushy,soft,mushy,adj,default,"The banana was soft, but not mushy.",0.3125,0.3125,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_041,thick/impenetrable,thick,impenetrable,thick,impenetrable,adj,default,"The wall was thick, but not impenetrable.",0.431372549,0.431372549,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_042,thin/invisible,thin,invisible,thin,invisible,adj,default,"The line was thin, but not invisible.",0.902439024,0.902439024,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_043,tiny/imperceptible,tiny,imperceptible,tiny,imperceptible,adj,default,"The movement was tiny, but not imperceptible.",0.558823529,0.558823529,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_044,tough/impossible,tough,impossible,tough,impossible,adj,default,"The test was tough, but not impossible.",0.870967742,0.870967742,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_045,uncomfortable/painful,uncomfortable,painful,uncomfortable,painful,adj,default,"The conversation was uncomfortable, but not painful.",0.25,0.25,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_046,warm/hot,warm,hot,warm,hot,adj,default,"The engine was warm, but not hot.",0.380952381,0.380952381,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_047,weird/alien,weird,alien,weird,alien,adj,default,"The idea was weird, but not alien.",0.130434783,0.130434783,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_048,wet/sopping,wet,sopping,wet,sopping,adj,default,"His clothing was wet, but not sopping.",0.325,0.325,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_049,wonderful/perfect,wonderful,perfect,wonderful,perfect,adj,default,"His performance was wonderful, but not perfect.",0.135135135,0.135135135,SI_rate,cross-scale/human_data/pvt21.csv,True,
pvt21,Pankratz & van Tiel (2021),pvt21_050,wrong/evil,wrong,evil,wrong,evil,adj,default,"His choices were wrong, but not evil.",0.327586207,0.327586207,SI_rate,cross-scale/human_data/pvt21.csv,True,
rx22,Ronai & Xiang (2022),rx22_001,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"Drinking is allowed, but not obligatory.",0.825,82.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_002,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"This model is attractive, but not stunning.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_003,begin/complete,begin,complete,begin,complete,verb,default,"John began the race, but did not complete it.",0.2,20.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_004,believe/know,believe,know,believe,know,verb,default,"The teacher believes it is true, but does not know.",0.625,62.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_005,big/enormous,big,enormous,big,enormous,adj,default,"The elephant is big, but not enormous.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_006,cool/cold,cool,cold,cool,cold,adj,default,"The weather is cool, but not cold.",0.425,42.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_007,damage/destroy,damage,destroy,damage,destroy,verb,default,"The machine might damage itself, but not destroy.",0.375,37.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,False,
rx22,Ronai & Xiang (2022),rx22_008,dark/black,dark,black,dark,black,adj,default,"The sky is dark, but not black.",0.275,27.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_009,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"The task is difficult, but not impossible.",0.7,70.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_010,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"Zack's carpet was dirty, but not filthy.",0.075,7.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_011,dislike/loathe,dislike,loathe,dislike,loathe,verb,default,"The doctor dislikes coffee, but does not loathe it.",0.225,22.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_012,double/triple,double,triple,double,triple,verb,default,"The sales will double, but not triple.",0.525,52.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_013,equally/more,equally,more,equally,more,adv,default,"That candidate is equally skilled, but not more.",0.675,67.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_014,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"The movie is funny, but not hilarious.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_015,good/excellent,good,excellent,good,excellent,adj,default,"The movie is good, but not excellent.",0.3,30.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_016,happy/ecstatic,happy,ecstatic,happy,ecstatic,adj,default,"The winner was happy, but not ecstatic.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_017,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"The problem is hard, but not unsolvable.",0.575,57.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_018,harmful/deadly,harmful,deadly,harmful,deadly,adj,default,"The toxin is harmful, but not deadly.",0.2,20.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
